+------------------------------------------------------------+-------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------+
| ID                                                         | Name                                            | Description                                                                                                                      | Parent                                           |
+------------------------------------------------------------+-------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------+
| autumnity:husbandry/cure_foul_taste                        | [Finally, Some Good Food]                       | Eat something good after eating foul berries                                                                                     | minecraft:husbandry/plant_seed                   |
| autumnity:husbandry/fungivore_diet                         | [A Fungivore Diet]                              | Feed a snail every type of mushroom and fungus                                                                                   | minecraft:husbandry/breed_an_animal              |
| autumnity:husbandry/sneaky_protection                      | [Sneaky Protection]                             | Construct a snail shell chestplate                                                                                               | minecraft:husbandry/breed_an_animal              |
| betterdeserttemples:root                                   | [YUNG's Better Desert Temples]                  | Somewhere deep in the desert...                                                                                                  | -                                                |
| betterdeserttemples:temple_clear                           | [Eternal Slumber]                               | Slay the Pharaoh and free the Temple from his curse                                                                              | betterdeserttemples:temple_entry                 |
| betterdeserttemples:temple_entry                           | [An Ancient Tomb]                               | Discover a Better Desert Temple                                                                                                  | betterdeserttemples:root                         |
| betterdungeons:all_dungeons                                | [Professional Dungeoneer]                       | Explore all of the Better Dungeons!                                                                                              | betterdungeons:root                              |
| betterdungeons:root                                        | [YUNG's Better Dungeons]                        | Adventure awaits...                                                                                                              | -                                                |
| betterdungeons:skeleton_dungeon                            | [A Bone to Pick]                                | Enter a Fortress of the Undead                                                                                                   | betterdungeons:root                              |
| betterdungeons:small_dungeon                               | [Quite the Renovation]                          | Find an upgraded Monster Room                                                                                                    | betterdungeons:root                              |
| betterdungeons:small_nether_dungeon                        | [A Special Addition]                            | Find a Small Nether Dungeon                                                                                                      | betterdungeons:root                              |
| betterdungeons:spider_dungeon                              | [Cobweb Entanglement]                           | Discover a Spider Cave                                                                                                           | betterdungeons:root                              |
| betterdungeons:zombie_dungeon                              | [When in Rome]                                  | Set foot in a Catacomb                                                                                                           | betterdungeons:root                              |
| biomesoplenty:biomesoplenty/all_biomes                     | [Wanderer]                                      | Discover every biome in Biomes O' Plenty                                                                                         | biomesoplenty:biomesoplenty/root                 |
| biomesoplenty:biomesoplenty/root                           | [Biomes O' Plenty]                              | Explore the world around you                                                                                                     | -                                                |
| corail_woodcutter:recipes/from_acacia_planks               | corail_woodcutter:recipes/from_acacia_planks    | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_birch_planks                | corail_woodcutter:recipes/from_birch_planks     | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_cherry_planks               | corail_woodcutter:recipes/from_cherry_planks    | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_crimson_planks              | corail_woodcutter:recipes/from_crimson_planks   | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_dark_oak_planks             | corail_woodcutter:recipes/from_dark_oak_planks  | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_dead_planks                 | corail_woodcutter:recipes/from_dead_planks      | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_fir_planks                  | corail_woodcutter:recipes/from_fir_planks       | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_hellbark_planks             | corail_woodcutter:recipes/from_hellbark_planks  | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_jacaranda_planks            | corail_woodcutter:recipes/from_jacaranda_planks | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_jungle_planks               | corail_woodcutter:recipes/from_jungle_planks    | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_magic_planks                | corail_woodcutter:recipes/from_magic_planks     | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_mahogany_planks             | corail_woodcutter:recipes/from_mahogany_planks  | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_mangrove_planks             | corail_woodcutter:recipes/from_mangrove_planks  | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_oak_planks                  | corail_woodcutter:recipes/from_oak_planks       | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_palm_planks                 | corail_woodcutter:recipes/from_palm_planks      | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_redwood_planks              | corail_woodcutter:recipes/from_redwood_planks   | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_spruce_planks               | corail_woodcutter:recipes/from_spruce_planks    | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_umbran_planks               | corail_woodcutter:recipes/from_umbran_planks    | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_warped_planks               | corail_woodcutter:recipes/from_warped_planks    | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/from_willow_planks               | corail_woodcutter:recipes/from_willow_planks    | <null>                                                                                                                           | corail_woodcutter:recipes/root                   |
| corail_woodcutter:recipes/root                             | corail_woodcutter:recipes/root                  | <null>                                                                                                                           | -                                                |
