"ID","Name","Description","Parent"
"1_splatus:blowgun","1_splatus:blowgun","<null>","-"
"1_splatus:electric_staff","[]","","-"
"1_splatus:endlight","1_splatus:endlight","<null>","-"
"1_splatus:fire_staff","[]","","-"
"1_splatus:ice_staff","[]","","-"
"1_splatus:magmus_charger","1_splatus:magmus_charger","<null>","-"
"1_splatus:spellbound_all_weapons","[Spellbound Master]","Obtain every Spellbound Weapon","minecraft:adventure/kill_a_mob"
"1_splatus:unlocked/blowgun","1_splatus:unlocked/blowgun","<null>","-"
"1_splatus:unlocked/crucible","1_splatus:unlocked/crucible","<null>","-"
"1_splatus:unlocked/golden_sea_blade","1_splatus:unlocked/golden_sea_blade","<null>","-"
"1_splatus:unlocked/magmus_charger","1_splatus:unlocked/magmus_charger","<null>","-"
"1_splatus:unlocked/moonlight_edge","1_splatus:unlocked/moonlight_edge","<null>","-"
"1_splatus:unlocked/nether_staffs","1_splatus:unlocked/nether_staffs","<null>","-"
"1_splatus:unlocked/thorn_blossom","1_splatus:unlocked/thorn_blossom","<null>","-"
"1_splatus:unlocked/windsweeper","1_splatus:unlocked/windsweeper","<null>","-"
"1_splatus:used_shield","1_splatus:used_shield","<null>","-"
"1_splatus:weapon/a","1_splatus:weapon/a","<null>","-"
"1_splatus:weapon/blazeblade","1_splatus:weapon/blazeblade","<null>","-"
"1_splatus:weapon/blowgun","1_splatus:weapon/blowgun","<null>","-"
"1_splatus:weapon/crucible","1_splatus:weapon/crucible","<null>","-"
"1_splatus:weapon/dagger","1_splatus:weapon/dagger","<null>","-"
"1_splatus:weapon/end_excalibur","1_splatus:weapon/end_excalibur","<null>","-"
"1_splatus:weapon/evokers_wrath","1_splatus:weapon/evokers_wrath","<null>","-"
"1_splatus:weapon/moonlight_edge","1_splatus:weapon/moonlight_edge","<null>","-"
"alexsmobs:alexsmobs/acacia_blossom","[Flowers of the Savanna]","Obtain an Acacia Blossom from breaking Acacia Leaves","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/alligator_snapping_turtle","[Alligator In Name Only]","Encounter an Alligator Snapping Turtle","alexsmobs:alexsmobs/crocodile"
"alexsmobs:alexsmobs/bald_eagle_challenge","[Winning Play]","Kill any creature from 100 blocks away with an eagle wearing a hood.","alexsmobs:alexsmobs/falconry_hood"
"alexsmobs:alexsmobs/banana","[Gone Bananas!]","Obtain a Banana","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/banana_slug","[Convergent Evolution...]","Encounter a Banana Slug. Not so appetising.","alexsmobs:alexsmobs/banana"
"alexsmobs:alexsmobs/bison_spyglass","[Perfect View in the Plains]","Observe a Bison through the lens of a Spyglass.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/blood_sprayer","[Spray 'n Pray]","Craft a Blood Sprayer from the drops of a Crimson Mosquito","alexsmobs:alexsmobs/crimson_mosquito"
"alexsmobs:alexsmobs/breed_anteater","[Aunt Anteater]","Breed two Anteaters by feeding them pupae.","alexsmobs:alexsmobs/leafcutter_ant_pupa"
"alexsmobs:alexsmobs/breed_crocodile","[Crikey!]","Breed two crocodiles with rotten flesh. Careful not to trample their eggs!","alexsmobs:alexsmobs/crocodile"
"alexsmobs:alexsmobs/breed_froststalker","[Undercover Under Covers]","Breed two Froststalkers with porkchops.","alexsmobs:alexsmobs/froststalker_helmet"
"alexsmobs:alexsmobs/breed_hummingbird","[Sugar Rush]","Breed two hummingbirds with flowers","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/capsid","[Capsid-19]","Obtain a Capsid from a slain Enderiophage. Use it to display items or to transfer them upwards","alexsmobs:alexsmobs/enderiophage"
"alexsmobs:alexsmobs/cosmic_cod","[Weird Fishes/Arpeggi]","Create a Cosmic Cod by placing a Cod in a Capsid.","alexsmobs:alexsmobs/capsid"
"alexsmobs:alexsmobs/crimson_mosquito","[Nightmare Fuel]","Encounter a crimson mosquito","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/crimson_mosquito_larva","[Pest Control]","Craft a Crimson Mosquito Larvae from a maggot and a special proboscis","alexsmobs:alexsmobs/crimson_mosquito"
"alexsmobs:alexsmobs/crimson_mosquito_sick","[Down with the Sickness]","Feed a Crimson Mosquito a strange, fungal creature covered in Warped Fungus. Watch as the Crimson Mosquito transforms!","alexsmobs:alexsmobs/crimson_mosquito"
"alexsmobs:alexsmobs/crocodile","[Chompy]","Encounter a Crocodile","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/crocodile_chestplate","[Cover me with... scutes?]","Craft a crocodile chestplate from many crocodile scutes","alexsmobs:alexsmobs/breed_crocodile"
"alexsmobs:alexsmobs/devils_hole_pupfish_bucket","[One Chunk Fish]","Capture the rarest fish in a bucket.","alexsmobs:alexsmobs/strange_fish_finder"
"alexsmobs:alexsmobs/dimensional_carver","[Break On Through...]","Using the drops of the Void Worm, create the Dimensional Carver, which allows you to dig through the fabric of reality to return home at any given point.","alexsmobs:alexsmobs/void_worm_kill"
"alexsmobs:alexsmobs/echolocator","[Echo-muh-cation!]","Craft an Echolocator, which can reveal nearby caves","alexsmobs:alexsmobs/save_cachalot_whale"
"alexsmobs:alexsmobs/elephant_swag","[Dressed to Impress]","Place a colored carpet on an elephant","alexsmobs:alexsmobs/tame_elephant"
"alexsmobs:alexsmobs/emu","[It's an Emu!!!]","Encounter an Emu. Exercise caution.","alexsmobs:alexsmobs/kangaroo"
"alexsmobs:alexsmobs/emu_dodge","[Begun, The Emu War Has]","See an emu dodge a launched projectile.","alexsmobs:alexsmobs/emu"
"alexsmobs:alexsmobs/ender_flu","[Race Against The Clock]","Catch the Ender Flu effect. Cure it by eating many Chorus Fruit or drinking milk. Be sure not to let it run its toll!","alexsmobs:alexsmobs/enderiophage"
"alexsmobs:alexsmobs/enderiophage","[Ender Distancing]","Encounter an Enderiophage, a giant biomechanical construct found in the End Midlands. Be careful not to catch Ender Flu!","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/enderiophage_rocket","[Ad End-stra]","Craft an Enderiophage Rocket, which can be used in place of Firework Rockets when in the End.","alexsmobs:alexsmobs/capsid"
"alexsmobs:alexsmobs/endolocator","[No End In Signt]","Craft an Endolocator, which can reveal nearby End Portal Frames","alexsmobs:alexsmobs/echolocator"
"alexsmobs:alexsmobs/falconry_glove","[Hand In Glove]","Craft a Falconry Glove from Leather and Hair of Bear. Use it to pick up and launch tamed eagles!","alexsmobs:alexsmobs/tame_bald_eagle"
"alexsmobs:alexsmobs/falconry_hood","[Blindsided]","Craft a Falconry Hood from Leather and a Roadrunner Feather. Eagles wearing one can be manually directed!","alexsmobs:alexsmobs/falconry_glove"
"alexsmobs:alexsmobs/farseer","[Farland Security]","Encounter the Farseer, a monstrous defender of the world border.","alexsmobs:alexsmobs/shattered_dimensional_carver"
"alexsmobs:alexsmobs/fish_bones","[A Bone to Pick]","Obtain Fish Bones from a Skelewag.","alexsmobs:alexsmobs/skelewag"
"alexsmobs:alexsmobs/froststalker_helmet","[An Impostor Amoung Us]","Craft a Froststalker Helmet to walk amongst Froststalkers undetected.","alexsmobs:alexsmobs/froststalker_kill"
"alexsmobs:alexsmobs/froststalker_kill","[Ice Scream]","Slay a Froststalker.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/ghostly_pickaxe","[Ghost! Ghost! Toast?]","Obtain a Ghostly Pickaxe from an Underminer.","alexsmobs:alexsmobs/underminer"
"alexsmobs:alexsmobs/gongylidia","[Like a Truffle, with more Ant]","Harvest Gongylidia from a Leafcutter Ant Chamber underground. Place Shroomlight near the chamber to make sure you don't upset the locals","alexsmobs:alexsmobs/stomp_leafcutter_anthill"
"alexsmobs:alexsmobs/grizzly_bear","[Pic-A-Nic Basket?]","Encounter a Grizzly Bear","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/guster","[Eye of The Storm]","Encounter a Guster during a stormy day in the desert","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/gustmaker","[I Am Become Guster]","Craft a Gustmaker. Now you can make your own mini-storms!","alexsmobs:alexsmobs/guster"
"alexsmobs:alexsmobs/hemolymph_blaster","[Blast from the... Future?]","Craft a Hemolyph Blaster, the ultimate upgrade to the Blood Sprayer.","alexsmobs:alexsmobs/warped_mosco_kill"
"alexsmobs:alexsmobs/hummingbird_feeder","[Sugar... In Wator...]","Craft a Hummingbird Feeder in order to keep hummingbirds nearby","alexsmobs:alexsmobs/breed_hummingbird"
"alexsmobs:alexsmobs/kangaroo","[We do a little trolling...]","Encounter a Kangaroo","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/la_cucaracha","[Mariachi!]","Give a Maraca to a cockroach and enjoy the show. ¡La Cucaracha!","alexsmobs:alexsmobs/maraca"
"alexsmobs:alexsmobs/laviathan_four_passengers","[Mass Transit]","Ride a Laviathan with three other passengers.","alexsmobs:alexsmobs/straddle_saddle"
