+-----+---------------------------------------+-----------------------+-----------------------+------------------------+----------------------+-------------------------+-------------------------+
|  ID | Registry name                         | Fog Color             | Sky Color             | Water Color            | Water Fog Color      | Grass Color             | Foliage Color           |
+-----+---------------------------------------+-----------------------+-----------------------+------------------------+----------------------+-------------------------+-------------------------+
|   0 | minecraft:the_void                    | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|   1 | minecraft:plains                      | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|   2 | minecraft:sunflower_plains            | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|   3 | minecraft:snowy_plains                | 0x00C0D8FF (12638463) | 0x007FA1FF (8364543)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|   4 | minecraft:ice_spikes                  | 0x00C0D8FF (12638463) | 0x007FA1FF (8364543)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|   5 | minecraft:desert                      | 0x00C0D8FF (12638463) | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|   6 | minecraft:swamp                       | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x00617B64 (6388580)   | 0x00232317 (2302743) | 0x006A7039 (   6975545) | 0x006A7039 (   6975545) |
|   7 | minecraft:mangrove_swamp              | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003A7A6A (3832426)   | 0x004D7A60 (5077600) | 0x006A7039 (   6975545) | 0x008DB127 (   9285927) |
|   8 | minecraft:forest                      | 0x00C0D8FF (12638463) | 0x0079A6FF (7972607)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|   9 | minecraft:flower_forest               | 0x00C0D8FF (12638463) | 0x0079A6FF (7972607)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  10 | minecraft:birch_forest                | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  11 | minecraft:dark_forest                 | 0x00C0D8FF (12638463) | 0x0079A6FF (7972607)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00507A32 (   5274162) | 0xFF59AE30 ( -10899920) |
