"Registry name","Map color (hex)","Map color (int)"
"alexsmobs:banana_peel","#007C00","31744"
"alexsmobs:banana_slug_slime_block","#E5E533","15066419"
"alexsmobs:bison_carpet","#664C33","6704179"
"alexsmobs:bison_fur_block","#664C33","6704179"
"alexsmobs:capsid","#000000","0"
"alexsmobs:crocodile_egg","#F7E9A3","16247203"
"alexsmobs:crystalized_banana_slug_mucus","#6699D8","6724056"
"alexsmobs:ender_residue","#7F3FB2","8339378"
"alexsmobs:gustmaker","#707070","7368816"
"alexsmobs:hummingbird_feeder","#A7A7A7","10987431"
"alexsmobs:leafcutter_ant_chamber","#976D4D","9923917"
"alexsmobs:leafcutter_anthill","#976D4D","9923917"
"alexsmobs:rainbow_glass","#6699D8","6724056"
"alexsmobs:red_sand_circle","#D87F33","14188339"
"alexsmobs:sand_circle","#F7E9A3","16247203"
"alexsmobs:sculk_boomer","#191919","1644825"
"alexsmobs:skunk_spray","#4040FF","4210943"
"alexsmobs:straddlite_block","#A7A7A7","10987431"
"alexsmobs:terrapin_egg","#F7E9A3","16247203"
"alexsmobs:transmutation_table","#A7A7A7","10987431"
"alexsmobs:void_worm_beak","#007C00","31744"
"alexsmobs:void_worm_effigy","#707070","7368816"
"autumnity:autumn_crocus","#007C00","31744"
"autumnity:carved_large_pumpkin_slice","#D87F33","14188339"
"autumnity:chiseled_snail_shell_bricks","#4C3223","4993571"
"autumnity:cooked_turkey","#000000","0"
"autumnity:cupric_jack_o_lantern","#D87F33","14188339"
"autumnity:ender_jack_o_lantern","#D87F33","14188339"
"autumnity:foul_berry_basket","#9F5224","10441252"
"autumnity:foul_berry_bush","#007C00","31744"
"autumnity:large_cupric_jack_o_lantern_slice","#D87F33","14188339"
"autumnity:large_ender_jack_o_lantern_slice","#D87F33","14188339"
"autumnity:large_jack_o_lantern_slice","#D87F33","14188339"
"autumnity:large_pumpkin_slice","#D87F33","14188339"
"autumnity:large_redstone_jack_o_lantern_slice","#D87F33","14188339"
"autumnity:large_soul_jack_o_lantern_slice","#D87F33","14188339"
"autumnity:maple_beehive","#9F5224","10441252"
"autumnity:maple_boards","#9F5224","10441252"
"autumnity:maple_bookshelf","#9F5224","10441252"
"autumnity:maple_button","#000000","0"
"autumnity:maple_chest","#9F5224","10441252"
"autumnity:maple_door","#9F5224","10441252"
"autumnity:maple_fence","#9F5224","10441252"
"autumnity:maple_fence_gate","#9F5224","10441252"
"autumnity:maple_hedge","#9F5224","10441252"
"autumnity:maple_ladder","#000000","0"
"autumnity:maple_leaf_carpet","#007C00","31744"
"autumnity:maple_leaf_pile","#007C00","31744"
"autumnity:maple_leaves","#007C00","31744"
"autumnity:maple_log","#9F5224","10441252"
"autumnity:maple_planks","#9F5224","10441252"
"autumnity:maple_post","#9F5224","10441252"
"autumnity:maple_pressure_plate","#9F5224","10441252"
"autumnity:maple_sapling","#007C00","31744"
"autumnity:maple_sign","#8F7748","9402184"
"autumnity:maple_slab","#9F5224","10441252"
"autumnity:maple_stairs","#9F5224","10441252"
"autumnity:maple_trapdoor","#9F5224","10441252"
"autumnity:maple_trapped_chest","#9F5224","10441252"
"autumnity:maple_vertical_slab","#9F5224","10441252"
"autumnity:maple_wall_sign","#9F5224","10441252"
"autumnity:maple_wood","#9F5224","10441252"
"autumnity:orange_maple_hedge","#9F5224","10441252"
"autumnity:orange_maple_leaf_carpet","#9F5224","10441252"
"autumnity:orange_maple_leaf_pile","#9F5224","10441252"
"autumnity:orange_maple_leaves","#9F5224","10441252"
"autumnity:orange_maple_sapling","#9F5224","10441252"
"autumnity:pancake","#000000","0"
"autumnity:potted_autumn_crocus","#000000","0"
"autumnity:potted_foul_berries","#000000","0"
"autumnity:potted_maple_sapling","#000000","0"
"autumnity:potted_orange_maple_sapling","#000000","0"
"autumnity:potted_red_maple_sapling","#000000","0"
"autumnity:potted_yellow_maple_sapling","#000000","0"
"autumnity:red_maple_hedge","#9F5224","10441252"
"autumnity:red_maple_leaf_carpet","#8E3C2E","9321518"
"autumnity:red_maple_leaf_pile","#8E3C2E","9321518"
"autumnity:red_maple_leaves","#8E3C2E","9321518"
"autumnity:red_maple_sapling","#8E3C2E","9321518"
"autumnity:redstone_jack_o_lantern","#D87F33","14188339"
"autumnity:sappy_maple_log","#9F5224","10441252"
"autumnity:sappy_maple_wood","#9F5224","10441252"
"autumnity:snail_goo","#D1B1A1","13742497"
"autumnity:snail_goo_block","#D1B1A1","13742497"
"autumnity:snail_shell_block","#4C3223","4993571"
"autumnity:snail_shell_brick_slab","#4C3223","4993571"
"autumnity:snail_shell_brick_stairs","#4C3223","4993571"
"autumnity:snail_shell_brick_vertical_slab","#4C3223","4993571"
"autumnity:snail_shell_brick_wall","#4C3223","4993571"
"autumnity:snail_shell_bricks","#4C3223","4993571"
"autumnity:snail_shell_tile_slab","#4C3223","4993571"
"autumnity:snail_shell_tile_stairs","#4C3223","4993571"
