"Mod name","Registry name","Hardness","Resistance"
"Alex's Mobs","alexsmobs:banana_peel",0.20,0.20
"Alex's Mobs","alexsmobs:banana_slug_slime_block",0.00,0.00
"Alex's Mobs","alexsmobs:bison_carpet",0.60,1.00
"Alex's Mobs","alexsmobs:bison_fur_block",0.60,1.00
"Alex's Mobs","alexsmobs:capsid",1.50,1.50
"Alex's Mobs","alexsmobs:crocodile_egg",0.50,0.50
"Alex's Mobs","alexsmobs:crystalized_banana_slug_mucus",0.10,0.10
"Alex's Mobs","alexsmobs:ender_residue",0.20,0.20
"Alex's Mobs","alexsmobs:gustmaker",1.50,1.50
"Alex's Mobs","alexsmobs:hummingbird_feeder",0.50,0.50
"Alex's Mobs","alexsmobs:leafcutter_ant_chamber",1.30,1.30
"Alex's Mobs","alexsmobs:leafcutter_anthill",0.75,0.75
"Alex's Mobs","alexsmobs:rainbow_glass",0.20,0.20
"Alex's Mobs","alexsmobs:red_sand_circle",0.50,0.50
"Alex's Mobs","alexsmobs:sand_circle",0.50,0.50
"Alex's Mobs","alexsmobs:sculk_boomer",3.00,12.00
"Alex's Mobs","alexsmobs:skunk_spray",0.00,0.00
"Alex's Mobs","alexsmobs:straddlite_block",1.00,1200.00
"Alex's Mobs","alexsmobs:terrapin_egg",0.50,0.50
"Alex's Mobs","alexsmobs:transmutation_table",1.00,1.00
"Alex's Mobs","alexsmobs:void_worm_beak",1.00,1.00
"Alex's Mobs","alexsmobs:void_worm_effigy",1.50,1.50
"Autumnity","autumnity:autumn_crocus",0.00,0.00
"Autumnity","autumnity:carved_large_pumpkin_slice",1.00,1.00
"Autumnity","autumnity:chiseled_snail_shell_bricks",3.00,9.00
"Autumnity","autumnity:cooked_turkey",0.50,0.50
"Autumnity","autumnity:cupric_jack_o_lantern",1.00,1.00
"Autumnity","autumnity:ender_jack_o_lantern",1.00,1.00
"Autumnity","autumnity:foul_berry_basket",1.50,1.50
"Autumnity","autumnity:foul_berry_bush",0.00,0.00
"Autumnity","autumnity:large_cupric_jack_o_lantern_slice",1.00,1.00
"Autumnity","autumnity:large_ender_jack_o_lantern_slice",1.00,1.00
"Autumnity","autumnity:large_jack_o_lantern_slice",1.00,1.00
"Autumnity","autumnity:large_pumpkin_slice",1.00,1.00
"Autumnity","autumnity:large_redstone_jack_o_lantern_slice",1.00,1.00
"Autumnity","autumnity:large_soul_jack_o_lantern_slice",1.00,1.00
"Autumnity","autumnity:maple_beehive",0.60,0.60
"Autumnity","autumnity:maple_boards",2.00,3.00
"Autumnity","autumnity:maple_bookshelf",1.50,1.50
"Autumnity","autumnity:maple_button",0.50,0.50
"Autumnity","autumnity:maple_chest",2.50,2.50
"Autumnity","autumnity:maple_door",3.00,3.00
"Autumnity","autumnity:maple_fence",2.00,3.00
"Autumnity","autumnity:maple_fence_gate",2.00,3.00
"Autumnity","autumnity:maple_hedge",2.00,2.00
"Autumnity","autumnity:maple_ladder",0.40,0.40
"Autumnity","autumnity:maple_leaf_carpet",0.00,0.00
"Autumnity","autumnity:maple_leaf_pile",0.20,0.20
"Autumnity","autumnity:maple_leaves",0.20,0.20
"Autumnity","autumnity:maple_log",2.00,2.00
"Autumnity","autumnity:maple_planks",2.00,3.00
"Autumnity","autumnity:maple_post",2.00,2.00
"Autumnity","autumnity:maple_pressure_plate",0.50,0.50
"Autumnity","autumnity:maple_sapling",0.00,0.00
"Autumnity","autumnity:maple_sign",1.00,1.00
"Autumnity","autumnity:maple_slab",2.00,3.00
"Autumnity","autumnity:maple_stairs",2.00,3.00
"Autumnity","autumnity:maple_trapdoor",3.00,3.00
"Autumnity","autumnity:maple_trapped_chest",2.50,2.50
"Autumnity","autumnity:maple_vertical_slab",2.00,3.00
"Autumnity","autumnity:maple_wall_sign",1.00,1.00
"Autumnity","autumnity:maple_wood",2.00,2.00
"Autumnity","autumnity:orange_maple_hedge",2.00,2.00
"Autumnity","autumnity:orange_maple_leaf_carpet",0.00,0.00
"Autumnity","autumnity:orange_maple_leaf_pile",0.20,0.20
"Autumnity","autumnity:orange_maple_leaves",0.20,0.20
"Autumnity","autumnity:orange_maple_sapling",0.00,0.00
"Autumnity","autumnity:pancake",0.50,0.50
"Autumnity","autumnity:potted_autumn_crocus",0.00,0.00
"Autumnity","autumnity:potted_foul_berries",0.00,0.00
"Autumnity","autumnity:potted_maple_sapling",0.00,0.00
"Autumnity","autumnity:potted_orange_maple_sapling",0.00,0.00
"Autumnity","autumnity:potted_red_maple_sapling",0.00,0.00
"Autumnity","autumnity:potted_yellow_maple_sapling",0.00,0.00
"Autumnity","autumnity:red_maple_hedge",2.00,2.00
"Autumnity","autumnity:red_maple_leaf_carpet",0.00,0.00
"Autumnity","autumnity:red_maple_leaf_pile",0.20,0.20
"Autumnity","autumnity:red_maple_leaves",0.20,0.20
"Autumnity","autumnity:red_maple_sapling",0.00,0.00
