+----------------------------------+-----------------------------------------------------------+-----------------------------------------------------------+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                         | Registry name                                             | Item ID                                                   | Display name                                  | Tags                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
+----------------------------------+-----------------------------------------------------------+-----------------------------------------------------------+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Autumnity                        | autumnity:autumn_crocus                                   | autumnity:autumn_crocus                                   | Autumn Crocus                                 | forge:mineable/sword, minecraft:enderman_holdable, tconstruct:mineable/dagger, forge:mineable/shears, minecraft:small_flowers, tconstruct:mineable/scythe, minecraft:flowers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Autumnity                        | autumnity:carved_large_pumpkin_slice                      | autumnity:carved_large_pumpkin_slice                      | Carved Large Pumpkin Slice                    | minecraft:mineable/axe, tconstruct:mineable/hand_axe, minecraft:enderman_holdable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Autumnity                        | autumnity:chiseled_snail_shell_bricks                     | autumnity:chiseled_snail_shell_bricks                     | Chiseled Snail Shell Bricks                   | tconstruct:mineable/pickadze, minecraft:mineable/pickaxe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Autumnity                        | autumnity:cooked_turkey                                   | autumnity:cooked_turkey                                   | Cooked Turkey                                 | farmersdelight:mineable/knife                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Autumnity                        | autumnity:cupric_jack_o_lantern                           | autumnity:cupric_jack_o_lantern                           | Cupric Jack o'Lantern                         | tconstruct:mineable/hand_axe, minecraft:mineable/axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:ender_jack_o_lantern                            | autumnity:ender_jack_o_lantern                            | Ender Jack o'Lantern                          | tconstruct:mineable/hand_axe, minecraft:mineable/axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:foul_berry_basket                               | autumnity:foul_berry_basket                               | Basket of Foul Berries                        | tconstruct:mineable/hand_axe, minecraft:mineable/axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:foul_berry_bush                                 | autumnity:foul_berries                                    | Foul Berries                                  | minecraft:fall_damage_resetting, minecraft:mineable/axe, minecraft:bee_growables, tconstruct:mineable/hand_axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| Autumnity                        | autumnity:large_cupric_jack_o_lantern_slice               | autumnity:large_cupric_jack_o_lantern_slice               | Large Cupric Jack o'Lantern Slice             | tconstruct:mineable/hand_axe, minecraft:mineable/axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:large_ender_jack_o_lantern_slice                | autumnity:large_ender_jack_o_lantern_slice                | Large Ender Jack o'Lantern Slice              | tconstruct:mineable/hand_axe, minecraft:mineable/axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:large_jack_o_lantern_slice                      | autumnity:large_jack_o_lantern_slice                      | Large Jack o'Lantern Slice                    | tconstruct:mineable/hand_axe, minecraft:mineable/axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:large_pumpkin_slice                             | autumnity:large_pumpkin_slice                             | Large Pumpkin Slice                           | minecraft:mineable/axe, tconstruct:mineable/hand_axe, minecraft:enderman_holdable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Autumnity                        | autumnity:large_redstone_jack_o_lantern_slice             | autumnity:large_redstone_jack_o_lantern_slice             | Large Redstone Jack o'Lantern Slice           | tconstruct:mineable/hand_axe, minecraft:mineable/axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:large_soul_jack_o_lantern_slice                 | autumnity:large_soul_jack_o_lantern_slice                 | Large Soul Jack o'Lantern Slice               | minecraft:mineable/axe, tconstruct:mineable/hand_axe, minecraft:piglin_repellents                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Autumnity                        | autumnity:maple_beehive                                   | autumnity:maple_beehive                                   | Maple Beehive                                 | minecraft:mineable/axe, tconstruct:mineable/hand_axe, minecraft:beehives                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Autumnity                        | autumnity:maple_boards                                    | autumnity:maple_boards                                    | Maple Boards                                  | tconstruct:mineable/hand_axe, minecraft:mineable/axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:maple_bookshelf                                 | autumnity:maple_bookshelf                                 | Maple Bookshelf                               | tconstruct:mineable/hand_axe, minecraft:mineable/axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:maple_button                                    | autumnity:maple_button                                    | Maple Button                                  | minecraft:mineable/axe, tconstruct:mineable/hand_axe, minecraft:buttons, minecraft:wooden_buttons, tconstruct:platform_connections                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Autumnity                        | autumnity:maple_chest                                     | autumnity:maple_chest                                     | Maple Chest                                   | forge:chests, forge:chests/wooden, minecraft:mineable/axe, tconstruct:mineable/hand_axe, minecraft:guarded_by_piglins                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Autumnity                        | autumnity:maple_door                                      | autumnity:maple_door                                      | Maple Door                                    | minecraft:wooden_doors, minecraft:doors, minecraft:mineable/axe, tconstruct:mineable/hand_axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Autumnity                        | autumnity:maple_fence                                     | autumnity:maple_fence                                     | Maple Fence                                   | forge:fences/wooden, forge:fences, supplementaries:posts, tconstruct:platform_connections, minecraft:fences, minecraft:mineable/axe, minecraft:wooden_fences, tconstruct:mineable/hand_axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Autumnity                        | autumnity:maple_fence_gate                                | autumnity:maple_fence_gate                                | Maple Fence Gate                              | forge:fence_gates/wooden, minecraft:mineable/axe, minecraft:unstable_bottom_center, tconstruct:mineable/hand_axe, forge:fence_gates, minecraft:fence_gates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Autumnity                        | autumnity:maple_hedge                                     | autumnity:maple_hedge                                     | Maple Hedge                                   | minecraft:mineable/axe, tconstruct:mineable/hand_axe, quark:hedges                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Autumnity                        | autumnity:maple_ladder                                    | autumnity:maple_ladder                                    | Maple Ladder                                  | quark:ladders, minecraft:mineable/axe, minecraft:climbable, minecraft:fall_damage_resetting, tconstruct:mineable/hand_axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Autumnity                        | autumnity:maple_leaf_carpet                               | autumnity:maple_leaf_carpet                               | Maple Leaf Carpet                             | tconstruct:mineable/dagger, minecraft:mineable/hoe, tconstruct:mineable/scythe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| Autumnity                        | autumnity:maple_leaf_pile                                 | autumnity:maple_leaf_pile                                 | Pile of Maple Leaves                          | woodworks:leaf_piles, tconstruct:mineable/dagger, tconstruct:mineable/scythe, minecraft:mineable/hoe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Autumnity                        | autumnity:maple_leaves                                    | autumnity:maple_leaves                                    | Maple Leaves                                  | supplementaries:hang_from_ropes, minecraft:lava_pool_stone_cannot_replace, supplementaries:map_tint_generic, minecraft:leaves, tconstruct:mineable/scythe, tconstruct:mineable/hand_axe, forge:mineable/shears, tconstruct:mineable/dagger, minecraft:completes_find_tree_tutorial, minecraft:mineable/hoe, minecraft:parrots_spawnable_on, forge:mineable/sword                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Autumnity                        | autumnity:maple_log                                       | autumnity:maple_log                                       | Maple Log                                     | minecraft:overworld_natural_logs, minecraft:lava_pool_stone_cannot_replace, tconstruct:mineable/mattock, tconstruct:mineable/hand_axe, minecraft:logs_that_burn, autumnity:maple_logs, minecraft:mineable/axe, minecraft:snaps_goat_horn, minecraft:logs, minecraft:completes_find_tree_tutorial, tconstruct:tree_log, minecraft:parrots_spawnable_on                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Autumnity                        | autumnity:maple_planks                                    | autumnity:maple_planks                                    | Maple Planks                                  | minecraft:planks, minecraft:mineable/axe, tconstruct:planklike, tconstruct:mineable/hand_axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Autumnity                        | autumnity:maple_post                                      | autumnity:maple_post                                      | Maple Post                                    | minecraft:mineable/axe, tconstruct:mineable/hand_axe, supplementaries:posts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Autumnity                        | autumnity:maple_pressure_plate                            | autumnity:maple_pressure_plate                            | Maple Pressure Plate                          | minecraft:wall_post_override, minecraft:mineable/axe, tconstruct:mineable/hand_axe, minecraft:wooden_pressure_plates, minecraft:pressure_plates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Autumnity                        | autumnity:maple_sapling                                   | autumnity:maple_sapling                                   | Maple Sapling                                 | forge:mineable/sword, tconstruct:mineable/hand_axe, minecraft:mineable/axe, minecraft:saplings, tconstruct:mineable/dagger, forge:mineable/shears, tconstruct:mineable/scythe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Autumnity                        | autumnity:maple_sign                                      | autumnity:maple_sign                                      | Maple Sign                                    | minecraft:wall_post_override, minecraft:mineable/axe, minecraft:standing_signs, tconstruct:mineable/hand_axe, minecraft:signs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Autumnity                        | autumnity:maple_slab                                      | autumnity:maple_slab                                      | Maple Slab                                    | minecraft:slabs, minecraft:wooden_slabs, minecraft:mineable/axe, tconstruct:mineable/hand_axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Autumnity                        | autumnity:maple_stairs                                    | autumnity:maple_stairs                                    | Maple Stairs                                  | minecraft:stairs, minecraft:mineable/axe, minecraft:wooden_stairs, tconstruct:mineable/hand_axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Autumnity                        | autumnity:maple_trapdoor                                  | autumnity:maple_trapdoor                                  | Maple Trapdoor                                | minecraft:trapdoors, minecraft:wooden_trapdoors, minecraft:mineable/axe, tconstruct:mineable/hand_axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Autumnity                        | autumnity:maple_trapped_chest                             | autumnity:maple_trapped_chest                             | Maple Trapped Chest                           | minecraft:mineable/axe, forge:chests, tconstruct:mineable/hand_axe, forge:chests/wooden, minecraft:guarded_by_piglins, forge:chests/trapped                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Autumnity                        | autumnity:maple_vertical_slab                             | autumnity:maple_vertical_slab                             | Maple Vertical Slab                           | quark:wooden_vertical_slabs, quark:vertical_slabs, minecraft:mineable/axe, tconstruct:mineable/hand_axe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Autumnity                        | autumnity:maple_wall_sign                                 | autumnity:maple_sign                                      | Maple Sign                                    | minecraft:mineable/axe, minecraft:wall_post_override, minecraft:signs, tconstruct:mineable/hand_axe, minecraft:wall_signs, tconstruct:platform_connections                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Autumnity                        | autumnity:maple_wood                                      | autumnity:maple_wood                                      | Maple Wood                                    | minecraft:parrots_spawnable_on, tconstruct:mineable/mattock, minecraft:mineable/axe, minecraft:logs, tconstruct:tree_log, minecraft:completes_find_tree_tutorial, minecraft:lava_pool_stone_cannot_replace, minecraft:logs_that_burn, tconstruct:mineable/hand_axe, autumnity:maple_logs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Autumnity                        | autumnity:orange_maple_hedge                              | autumnity:orange_maple_hedge                              | Orange Maple Hedge                            | minecraft:mineable/axe, tconstruct:mineable/hand_axe, quark:hedges                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Autumnity                        | autumnity:orange_maple_leaf_carpet                        | autumnity:orange_maple_leaf_carpet                        | Orange Maple Leaf Carpet                      | tconstruct:mineable/dagger, minecraft:mineable/hoe, tconstruct:mineable/scythe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| Autumnity                        | autumnity:orange_maple_leaf_pile                          | autumnity:orange_maple_leaf_pile                          | Pile of Orange Maple Leaves                   | woodworks:leaf_piles, tconstruct:mineable/dagger, tconstruct:mineable/scythe, minecraft:mineable/hoe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
