"Mod name","Registry name","Item ID","Display name","Tags"
"Alex's Mobs","alexsmobs:banana_peel","alexsmobs:banana_peel","Banana Peel",""
"Alex's Mobs","alexsmobs:banana_slug_slime_block","alexsmobs:banana_slug_slime_block","Banana Slug Slime Block","tconstruct:mineable/pickadze, tconstruct:mineable/mattock, minecraft:mineable/shovel"
"Alex's Mobs","alexsmobs:bison_carpet","alexsmobs:bison_carpet","Bison Fur Carpet",""
"Alex's Mobs","alexsmobs:bison_fur_block","alexsmobs:bison_fur_block","Block of Bison Fur",""
"Alex's Mobs","alexsmobs:capsid","alexsmobs:capsid","Capsid","minecraft:mineable/pickaxe, tconstruct:mineable/pickadze"
"Alex's Mobs","alexsmobs:crocodile_egg","alexsmobs:crocodile_egg","Crocodile Egg",""
"Alex's Mobs","alexsmobs:crystalized_banana_slug_mucus","alexsmobs:crystalized_banana_slug_mucus","Crystallized Banana Slug Mucus","minecraft:mineable/pickaxe, tconstruct:mineable/pickadze"
"Alex's Mobs","alexsmobs:ender_residue","alexsmobs:ender_residue","Ender Residue",""
"Alex's Mobs","alexsmobs:gustmaker","alexsmobs:gustmaker","Gustmaker","minecraft:mineable/pickaxe, tconstruct:mineable/pickadze"
"Alex's Mobs","alexsmobs:hummingbird_feeder","alexsmobs:hummingbird_feeder","Hummingbird Feeder","minecraft:mineable/pickaxe, tconstruct:mineable/pickadze"
"Alex's Mobs","alexsmobs:leafcutter_ant_chamber","alexsmobs:leafcutter_ant_chamber","Leafcutter Ant Chamber","tconstruct:mineable/pickadze, tconstruct:mineable/mattock, minecraft:mineable/shovel"
"Alex's Mobs","alexsmobs:leafcutter_anthill","alexsmobs:leafcutter_anthill","Leafcutter Anthill","tconstruct:mineable/pickadze, tconstruct:mineable/mattock, minecraft:mineable/shovel"
"Alex's Mobs","alexsmobs:rainbow_glass","alexsmobs:rainbow_glass","Rainbow Glass","minecraft:mineable/pickaxe, tconstruct:mineable/pickadze"
"Alex's Mobs","alexsmobs:red_sand_circle","alexsmobs:red_sand_circle","Anti-Sea Bear Circle",""
"Alex's Mobs","alexsmobs:sand_circle","alexsmobs:sand_circle","Anti-Sea Bear Circle",""
"Alex's Mobs","alexsmobs:sculk_boomer","alexsmobs:sculk_boomer","Sculk Boomer","tconstruct:mineable/scythe, minecraft:mineable/hoe, tconstruct:mineable/dagger"
"Alex's Mobs","alexsmobs:skunk_spray","alexsmobs:stink_bottle","Stink in a Bottle",""
"Alex's Mobs","alexsmobs:straddlite_block","alexsmobs:straddlite_block","Block of Straddlite","minecraft:mineable/pickaxe, tconstruct:mineable/pickadze"
"Alex's Mobs","alexsmobs:terrapin_egg","alexsmobs:terrapin_egg","Terrapin Egg",""
"Alex's Mobs","alexsmobs:transmutation_table","alexsmobs:transmutation_table","Transmutation Table","minecraft:mineable/pickaxe, tconstruct:mineable/pickadze"
"Alex's Mobs","alexsmobs:void_worm_beak","alexsmobs:void_worm_beak","Void Worm Beak","minecraft:mineable/pickaxe, tconstruct:mineable/pickadze"
"Alex's Mobs","alexsmobs:void_worm_effigy","alexsmobs:void_worm_effigy","Void Worm Effigy",""
"Autumnity","autumnity:autumn_crocus","autumnity:autumn_crocus","Autumn Crocus","minecraft:flowers, minecraft:small_flowers, forge:mineable/sword, 1_splatus:spellbound/permeable, forge:mineable/shears, minecraft:enderman_holdable, tconstruct:mineable/scythe, 1_splatus:spellbound/permeable_by_wind, tconstruct:mineable/dagger, 1_splatus:spellbound/bone_wand_replaceable, 1_splatus:ultris/permeable"
"Autumnity","autumnity:carved_large_pumpkin_slice","autumnity:carved_large_pumpkin_slice","Carved Large Pumpkin Slice","minecraft:enderman_holdable, minecraft:mineable/axe, tconstruct:mineable/hand_axe"
"Autumnity","autumnity:chiseled_snail_shell_bricks","autumnity:chiseled_snail_shell_bricks","Chiseled Snail Shell Bricks","minecraft:mineable/pickaxe, tconstruct:mineable/pickadze"
"Autumnity","autumnity:cooked_turkey","autumnity:cooked_turkey","Cooked Turkey","farmersdelight:mineable/knife"
"Autumnity","autumnity:cupric_jack_o_lantern","autumnity:cupric_jack_o_lantern","Cupric Jack o'Lantern","tconstruct:mineable/hand_axe, minecraft:mineable/axe"
"Autumnity","autumnity:ender_jack_o_lantern","autumnity:ender_jack_o_lantern","Ender Jack o'Lantern","tconstruct:mineable/hand_axe, minecraft:mineable/axe"
"Autumnity","autumnity:foul_berry_basket","autumnity:foul_berry_basket","Basket of Foul Berries","tconstruct:mineable/hand_axe, minecraft:mineable/axe"
"Autumnity","autumnity:foul_berry_bush","autumnity:foul_berries","Foul Berries","minecraft:mineable/axe, minecraft:bee_growables, tconstruct:mineable/hand_axe, minecraft:fall_damage_resetting"
"Autumnity","autumnity:large_cupric_jack_o_lantern_slice","autumnity:large_cupric_jack_o_lantern_slice","Large Cupric Jack o'Lantern Slice","tconstruct:mineable/hand_axe, minecraft:mineable/axe"
"Autumnity","autumnity:large_ender_jack_o_lantern_slice","autumnity:large_ender_jack_o_lantern_slice","Large Ender Jack o'Lantern Slice","tconstruct:mineable/hand_axe, minecraft:mineable/axe"
"Autumnity","autumnity:large_jack_o_lantern_slice","autumnity:large_jack_o_lantern_slice","Large Jack o'Lantern Slice","tconstruct:mineable/hand_axe, minecraft:mineable/axe"
"Autumnity","autumnity:large_pumpkin_slice","autumnity:large_pumpkin_slice","Large Pumpkin Slice","minecraft:enderman_holdable, minecraft:mineable/axe, tconstruct:mineable/hand_axe"
"Autumnity","autumnity:large_redstone_jack_o_lantern_slice","autumnity:large_redstone_jack_o_lantern_slice","Large Redstone Jack o'Lantern Slice","tconstruct:mineable/hand_axe, minecraft:mineable/axe"
"Autumnity","autumnity:large_soul_jack_o_lantern_slice","autumnity:large_soul_jack_o_lantern_slice","Large Soul Jack o'Lantern Slice","minecraft:mineable/axe, minecraft:piglin_repellents, tconstruct:mineable/hand_axe"
"Autumnity","autumnity:maple_beehive","autumnity:maple_beehive","Maple Beehive","minecraft:mineable/axe, alexsmobs:grizzly_beehive, tconstruct:mineable/hand_axe, minecraft:beehives"
"Autumnity","autumnity:maple_boards","autumnity:maple_boards","Maple Boards","tconstruct:mineable/hand_axe, minecraft:mineable/axe"
"Autumnity","autumnity:maple_bookshelf","autumnity:maple_bookshelf","Maple Bookshelf","tconstruct:mineable/hand_axe, minecraft:mineable/axe"
"Autumnity","autumnity:maple_button","autumnity:maple_button","Maple Button","1_splatus:spellbound/permeable, minecraft:buttons, minecraft:mineable/axe, 1_splatus:ultris/permeable, tconstruct:mineable/hand_axe, minecraft:wooden_buttons, tconstruct:platform_connections, 1_splatus:spellbound/permeable_by_wind"
"Autumnity","autumnity:maple_chest","autumnity:maple_chest","Maple Chest","minecraft:guarded_by_piglins, minecraft:mineable/axe, forge:chests, forge:chests/wooden, tconstruct:mineable/hand_axe"
"Autumnity","autumnity:maple_door","autumnity:maple_door","Maple Door","minecraft:doors, minecraft:mineable/axe, minecraft:wooden_doors, tconstruct:mineable/hand_axe"
"Autumnity","autumnity:maple_fence","autumnity:maple_fence","Maple Fence","minecraft:fences, forge:fences/wooden, minecraft:wooden_fences, minecraft:mineable/axe, tconstruct:mineable/hand_axe, 1_splatus:spellbound/permeable_by_wind, tconstruct:platform_connections, forge:fences, supplementaries:posts"
"Autumnity","autumnity:maple_fence_gate","autumnity:maple_fence_gate","Maple Fence Gate","minecraft:unstable_bottom_center, forge:fence_gates, 1_splatus:spellbound/permeable_by_wind, minecraft:fence_gates, tconstruct:mineable/hand_axe, minecraft:mineable/axe, forge:fence_gates/wooden"
"Autumnity","autumnity:maple_hedge","autumnity:maple_hedge","Maple Hedge","quark:hedges, minecraft:mineable/axe, tconstruct:mineable/hand_axe"
"Autumnity","autumnity:maple_ladder","autumnity:maple_ladder","Maple Ladder","1_splatus:spellbound/bone_wand_replaceable, minecraft:climbable, minecraft:mineable/axe, tconstruct:mineable/hand_axe, minecraft:fall_damage_resetting, quark:ladders, 1_splatus:ultris/permeable, 1_splatus:spellbound/permeable_by_wind, 1_splatus:spellbound/permeable"
"Autumnity","autumnity:maple_leaf_carpet","autumnity:maple_leaf_carpet","Maple Leaf Carpet","tconstruct:mineable/scythe, minecraft:mineable/hoe, tconstruct:mineable/dagger"
