"Mod name","Registry name","Item ID","Display name"
"Autumnity","autumnity:autumn_crocus","autumnity:autumn_crocus","Autumn Crocus"
"Autumnity","autumnity:carved_large_pumpkin_slice","autumnity:carved_large_pumpkin_slice","Carved Large Pumpkin Slice"
"Autumnity","autumnity:chiseled_snail_shell_bricks","autumnity:chiseled_snail_shell_bricks","Chiseled Snail Shell Bricks"
"Autumnity","autumnity:cooked_turkey","autumnity:cooked_turkey","Cooked Turkey"
"Autumnity","autumnity:cupric_jack_o_lantern","autumnity:cupric_jack_o_lantern","Cupric Jack o'Lantern"
"Autumnity","autumnity:ender_jack_o_lantern","autumnity:ender_jack_o_lantern","Ender Jack o'Lantern"
"Autumnity","autumnity:foul_berry_basket","autumnity:foul_berry_basket","Basket of Foul Berries"
"Autumnity","autumnity:foul_berry_bush","autumnity:foul_berries","Foul Berries"
"Autumnity","autumnity:large_cupric_jack_o_lantern_slice","autumnity:large_cupric_jack_o_lantern_slice","Large Cupric Jack o'Lantern Slice"
"Autumnity","autumnity:large_ender_jack_o_lantern_slice","autumnity:large_ender_jack_o_lantern_slice","Large Ender Jack o'Lantern Slice"
"Autumnity","autumnity:large_jack_o_lantern_slice","autumnity:large_jack_o_lantern_slice","Large Jack o'Lantern Slice"
"Autumnity","autumnity:large_pumpkin_slice","autumnity:large_pumpkin_slice","Large Pumpkin Slice"
"Autumnity","autumnity:large_redstone_jack_o_lantern_slice","autumnity:large_redstone_jack_o_lantern_slice","Large Redstone Jack o'Lantern Slice"
"Autumnity","autumnity:large_soul_jack_o_lantern_slice","autumnity:large_soul_jack_o_lantern_slice","Large Soul Jack o'Lantern Slice"
"Autumnity","autumnity:maple_beehive","autumnity:maple_beehive","Maple Beehive"
"Autumnity","autumnity:maple_boards","autumnity:maple_boards","Maple Boards"
"Autumnity","autumnity:maple_bookshelf","autumnity:maple_bookshelf","Maple Bookshelf"
"Autumnity","autumnity:maple_button","autumnity:maple_button","Maple Button"
"Autumnity","autumnity:maple_chest","autumnity:maple_chest","Maple Chest"
"Autumnity","autumnity:maple_door","autumnity:maple_door","Maple Door"
"Autumnity","autumnity:maple_fence","autumnity:maple_fence","Maple Fence"
"Autumnity","autumnity:maple_fence_gate","autumnity:maple_fence_gate","Maple Fence Gate"
"Autumnity","autumnity:maple_hedge","autumnity:maple_hedge","Maple Hedge"
"Autumnity","autumnity:maple_ladder","autumnity:maple_ladder","Maple Ladder"
"Autumnity","autumnity:maple_leaf_carpet","autumnity:maple_leaf_carpet","Maple Leaf Carpet"
"Autumnity","autumnity:maple_leaf_pile","autumnity:maple_leaf_pile","Pile of Maple Leaves"
"Autumnity","autumnity:maple_leaves","autumnity:maple_leaves","Maple Leaves"
"Autumnity","autumnity:maple_log","autumnity:maple_log","Maple Log"
"Autumnity","autumnity:maple_planks","autumnity:maple_planks","Maple Planks"
"Autumnity","autumnity:maple_post","autumnity:maple_post","Maple Post"
"Autumnity","autumnity:maple_pressure_plate","autumnity:maple_pressure_plate","Maple Pressure Plate"
"Autumnity","autumnity:maple_sapling","autumnity:maple_sapling","Maple Sapling"
"Autumnity","autumnity:maple_sign","autumnity:maple_sign","Maple Sign"
"Autumnity","autumnity:maple_slab","autumnity:maple_slab","Maple Slab"
"Autumnity","autumnity:maple_stairs","autumnity:maple_stairs","Maple Stairs"
"Autumnity","autumnity:maple_trapdoor","autumnity:maple_trapdoor","Maple Trapdoor"
"Autumnity","autumnity:maple_trapped_chest","autumnity:maple_trapped_chest","Maple Trapped Chest"
"Autumnity","autumnity:maple_vertical_slab","autumnity:maple_vertical_slab","Maple Vertical Slab"
"Autumnity","autumnity:maple_wall_sign","autumnity:maple_sign","Maple Sign"
"Autumnity","autumnity:maple_wood","autumnity:maple_wood","Maple Wood"
"Autumnity","autumnity:orange_maple_hedge","autumnity:orange_maple_hedge","Orange Maple Hedge"
"Autumnity","autumnity:orange_maple_leaf_carpet","autumnity:orange_maple_leaf_carpet","Orange Maple Leaf Carpet"
"Autumnity","autumnity:orange_maple_leaf_pile","autumnity:orange_maple_leaf_pile","Pile of Orange Maple Leaves"
"Autumnity","autumnity:orange_maple_leaves","autumnity:orange_maple_leaves","Orange Maple Leaves"
"Autumnity","autumnity:orange_maple_sapling","autumnity:orange_maple_sapling","Orange Maple Sapling"
"Autumnity","autumnity:pancake","autumnity:pancake","Pancake"
"Autumnity","autumnity:potted_autumn_crocus","","Potted Autumn Crocus"
"Autumnity","autumnity:potted_foul_berries","","Potted Foul Berries"
"Autumnity","autumnity:potted_maple_sapling","","Potted Maple Sapling"
"Autumnity","autumnity:potted_orange_maple_sapling","","Potted Orange Maple Sapling"
"Autumnity","autumnity:potted_red_maple_sapling","","Potted Red Maple Sapling"
"Autumnity","autumnity:potted_yellow_maple_sapling","","Potted Yellow Maple Sapling"
"Autumnity","autumnity:red_maple_hedge","autumnity:red_maple_hedge","Red Maple Hedge"
"Autumnity","autumnity:red_maple_leaf_carpet","autumnity:red_maple_leaf_carpet","Red Maple Leaf Carpet"
"Autumnity","autumnity:red_maple_leaf_pile","autumnity:red_maple_leaf_pile","Pile of Red Maple Leaves"
"Autumnity","autumnity:red_maple_leaves","autumnity:red_maple_leaves","Red Maple Leaves"
"Autumnity","autumnity:red_maple_sapling","autumnity:red_maple_sapling","Red Maple Sapling"
"Autumnity","autumnity:redstone_jack_o_lantern","autumnity:redstone_jack_o_lantern","Redstone Jack o'Lantern"
