"Ordinal","Registry name","Type","Task Range"
"0","minecraft:empty","PROTOCHUNK","-1"
"1","minecraft:structure_starts","PROTOCHUNK","0"
"2","minecraft:structure_references","PROTOCHUNK","8"
"3","minecraft:biomes","PROTOCHUNK","8"
"4","minecraft:noise","PROTOCHUNK","8"
"5","minecraft:surface","PROTOCHUNK","8"
"6","minecraft:carvers","PROTOCHUNK","8"
"7","minecraft:liquid_carvers","PROTOCHUNK","8"
"8","minecraft:features","PROTOCHUNK","8"
"9","minecraft:light","PROTOCHUNK","1"
"10","minecraft:spawn","PROTOCHUNK","0"
"11","minecraft:heightmaps","PROTOCHUNK","0"
"12","minecraft:full","LEVELCHUNK","0"
