"Index","Name","Translated Name","Icon Item"
0,"building_blocks","Building Blocks","[minecraft:bricks - 'Bricks']"
1,"decorations","Decoration Blocks","[minecraft:peony - 'Peony']"
2,"redstone","Redstone","[minecraft:redstone - 'Redstone Dust']"
3,"transportation","Transportation","[minecraft:powered_rail - 'Powered Rail']"
4,"hotbar","Saved Hotbars","[minecraft:bookshelf - 'Oak Bookshelf']"
5,"search","Search Items","[minecraft:compass - 'Compass']"
6,"misc","Miscellaneous","[minecraft:lava_bucket - 'Lava Bucket']"
7,"food","Foodstuffs","[minecraft:apple - 'Apple']"
8,"tools","Tools","[minecraft:iron_axe - 'Iron Axe']"
9,"combat","Combat","[minecraft:golden_sword - 'Golden Sword']"
10,"brewing","Brewing","[minecraft:potion - 'Water Bottle']"
11,"inventory","Survival Inventory","[minecraft:chest - 'Chest']"
12,"InfernalTab","Infernal Expansion","[infernalexp:tab_icon - 'item.infernalexp.tab_icon']"
13,"nyfsquiver","Nyf's Quivers","[nyfsquiver:basic_quiver - 'Quiver']"
14,"tabunusual_end","Unusual End","[unusualend:mod_icon - 'Mod Icon']"
15,"tabrealm_rpg_creep","Realm RPG: Creep & Crop","[minecraft:carved_pumpkin - 'Carved Pumpkin']"
16,"kaisa_core","Kaisacraft's core","[kaisascore:titanium_ingot - 'Titanium Ingot']"
17,"ironchest","Iron Chests","[ironchest:iron_chest - 'Iron Chest']"
18,"thermal.blocks","Thermal Series: Blocks","[thermal:enderium_block - 'Block of Enderium']"
19,"thermal.devices","Thermal Series: Machinery","[thermal:tinker_bench - 'Tinker's Workbench']"
20,"thermal.items","Thermal Series: Items","[thermal:signalum_gear - 'Signalum Gear']"
21,"thermal.foods","Thermal Series: Crops and Foods","[thermal:apple_block - 'Crate of Apples']"
22,"thermal.tools","Thermal Series: Tools","[thermal:wrench - 'Crescent Hammer']"
23,"mowziesmobs.creativeTab","Mowzie's Mobs","[mowziesmobs:logo - 'item.mowziesmobs.logo']"
24,"searchlight","Searchlight Mod","[searchlight:searchlight - 'Searchlight']"
25,"oceansdelight","Ocean's Delight","[oceansdelight:guardian_soup - 'Guardian Soup']"
26,"tools_complement","Tool's Complement","[tools_complement:diamond_sickle - 'Diamond Sickle']"
27,"alexsmobs","Alex's Mobs","[alexsmobs:tab_icon - 'Alex's Mobs']"
28,"prettypipes","Pretty Pipes","[prettypipes:wrench - 'Pipe Wrench']"
29,"farmersdelight","Farmer's Delight","[farmersdelight:stove - 'Stove']"
30,"tabbornin_chaos_mobs","Born in Chaos Mobs","[born_in_chaos_v1:shattered_skull - 'Shattered Skull']"
31,"tabbornin_chaos_items","Born in Chaos Items","[born_in_chaos_v1:fire_dust - 'Fire Light Dust']"
32,"tabweapons_bornin_chaos","Born in Chaos Weapons","[born_in_chaos_v1:dark_metal_armor_helmet - 'Dark Metal Helmet']"
33,"tabblock_borin_chaos","Born in Chaos Blocks","[born_in_chaos_v1:dark_metal_block - 'Dark Metal Block']"
34,"tabdebugging_bornin_chaos","Born in Chaos Debug","[born_in_chaos_v1:magicskull - 'Magicskull']"
35,"tabgothic_tab","Gothic","[gothic:gothic_icon - 'Gothic Icon']"
36,"tabdesolation","Desolation","[desolation:charredlog - 'Charred log']"
37,"itemfilters.main","Item Filters","[itemfilters:always_true - 'Always True Filter']"
38,"ftbquests.ftbquests","FTB Quests","[ftbquests:book - 'Quest Book']"
39,"custommachinery.group","Custom Machinery","[custommachinery:custom_machine_item - 'Dummy']"
40,"simplyswords.simplyswords","Simply Swords","[simplyswords:runic_tablet - 'Runic Tablet']"
41,"waystones.waystones","Waystones","[waystones:waystone - 'Waystone']"
42,"tconstruct/general","Tinkers' General Items","[tconstruct:sky_slime_ball - 'Skyslime Ball']"
43,"tconstruct/gadgets","Tinkers' Gadgets","[tconstruct:clear_item_frame - 'Clear Item Frame']"
44,"creeperoverhaul.item_group","Creeper Overhaul","[minecraft:creeper_head - 'Creeper Head']"
45,"tconstruct/world","Tinkers' World","[tconstruct:cobalt_ore - 'Nether Cobalt Ore']"
46,"kubejs.kubejs","KubeJS","[minecraft:purple_dye - 'Purple Dye']"
47,"tconstruct/tool_parts","Tinkers' Toolparts","[tconstruct:pick_head - 'Queen's Slime Pick Head']"
48,"tconstruct/tools","Tinkers' Tools","[tconstruct:pickaxe - 'Pickaxe']"
49,"tconstruct/smeltery","Tinkers' Smeltery","[tconstruct:smeltery_controller - 'Smeltery Controller']"
50,"corail_woodcutter","Corail Woodcutter","[corail_woodcutter:cherry_woodcutter - 'Cherry Sawmill']"
51,"biomesoplenty","Biomes O' Plenty","[biomesoplenty:bop_icon - 'BOP Icon']"
52,"domesticationinnovation","Domestication Innovation","[domesticationinnovation:collar_tag - 'Collar Tag']"
53,"tabHorseColors","Realistic Horse Genetics","[minecraft:hay_block - 'Hay Bale']"
54,"elevators_tab","Elevators","[elevatorid:elevator_white - 'White Elevator']"
55,"storagedrawers","Storage Drawers","[storagedrawers:oak_full_drawers_2 - 'Oak Drawers 1x2']"
56,"morecreativetabs.terrain_blocks","Terrain Blocks","[minecraft:grass_block - 'Grass Block']"
57,"morecreativetabs.stone_blocks","Stone Blocks","[minecraft:stone - 'Stone']"
58,"morecreativetabs.wood_blocks","Wooden Blocks","[minecraft:oak_planks - 'Oak Planks']"
59,"morecreativetabs.copper_decoration","Copper Decoration","[minecraft:copper_block - 'Block of Copper']"
60,"morecreativetabs.light_sources","Light","[minecraft:lantern - 'Lantern']"
61,"morecreativetabs.ore_tab","Ores","[minecraft:iron_ingot - 'Iron Ingot']"
62,"morecreativetabs.other_ore_tab","Other Minerals","[thermal:sulfur - 'Sulfur']"
63,"morecreativetabs.crafting_stations","Crafting Stations","[minecraft:crafting_table - 'Crafting Board']"
64,"morecreativetabs.artifacts","Artifacts","[minecraft:totem_of_undying - 'Totem of Undying']"
65,"morecreativetabs.trash_bin","Ignore this tab","[minecraft:mossy_cobblestone - 'Mossy Cobblestone']"
