"Mod name","Registry name","ID","Category","Entity class name"
"AstikorCarts","astikorcarts:animal_cart",289,"misc","de.mennomax.astikorcarts.entity.AnimalCartEntity"
"AstikorCarts","astikorcarts:plow",288,"misc","de.mennomax.astikorcarts.entity.PlowEntity"
"AstikorCarts","astikorcarts:postilion",290,"misc","de.mennomax.astikorcarts.entity.PostilionEntity"
"AstikorCarts","astikorcarts:supply_cart",287,"misc","de.mennomax.astikorcarts.entity.SupplyCartEntity"
"Autumnity","autumnity:snail",292,"creature","com.teamabnormals.autumnity.common.entity.animal.Snail"
"Autumnity","autumnity:turkey",293,"creature","com.teamabnormals.autumnity.common.entity.animal.Turkey"
"Autumnity","autumnity:turkey_egg",294,"misc","com.teamabnormals.autumnity.common.entity.projectile.ThrownTurkeyEgg"
"Biomes O' Plenty","biomesoplenty:boat",285,"misc","biomesoplenty.common.entity.BoatBOP"
"Biomes O' Plenty","biomesoplenty:chest_boat",286,"misc","biomesoplenty.common.entity.ChestBoatBOP"
"Blueprint","blueprint:boat",208,"misc","com.teamabnormals.blueprint.common.entity.BlueprintBoat"
"Blueprint","blueprint:chest_boat",209,"misc","com.teamabnormals.blueprint.common.entity.BlueprintChestBoat"
"Blueprint","blueprint:falling_block",210,"misc","com.teamabnormals.blueprint.common.entity.BlueprintFallingBlockEntity"
"Born in Chaos","born_in_chaos_v1:baby_skeleton",135,"monster","net.mcreator.borninchaosv.entity.BabySkeletonEntity"
"Born in Chaos","born_in_chaos_v1:baby_skeleton_minion",172,"monster","net.mcreator.borninchaosv.entity.BabySkeletonMinionEntity"
"Born in Chaos","born_in_chaos_v1:barrel_zombie",137,"monster","net.mcreator.borninchaosv.entity.BarrelZombieEntity"
"Born in Chaos","born_in_chaos_v1:bloody_gadfly",159,"monster","net.mcreator.borninchaosv.entity.BloodyGadflyEntity"
"Born in Chaos","born_in_chaos_v1:bone_imp",148,"monster","net.mcreator.borninchaosv.entity.BoneImpEntity"
"Born in Chaos","born_in_chaos_v1:bone_imp_minion",175,"monster","net.mcreator.borninchaosv.entity.BoneImpMinionEntity"
"Born in Chaos","born_in_chaos_v1:bonescaller",146,"monster","net.mcreator.borninchaosv.entity.BonescallerEntity"
"Born in Chaos","born_in_chaos_v1:bonescaller_not_despawn",124,"monster","net.mcreator.borninchaosv.entity.BonescallerNotDespawnEntity"
"Born in Chaos","born_in_chaos_v1:controlled_baby_skeleton",173,"monster","net.mcreator.borninchaosv.entity.ControlledBabySkeletonEntity"
"Born in Chaos","born_in_chaos_v1:corpse_fish",165,"water_creature","net.mcreator.borninchaosv.entity.CorpseFishEntity"
"Born in Chaos","born_in_chaos_v1:corpse_fly",158,"monster","net.mcreator.borninchaosv.entity.CorpseFlyEntity"
"Born in Chaos","born_in_chaos_v1:dark_vortex",150,"monster","net.mcreator.borninchaosv.entity.DarkVortexEntity"
"Born in Chaos","born_in_chaos_v1:decaying_zombie",134,"monster","net.mcreator.borninchaosv.entity.DecayingZombieEntity"
"Born in Chaos","born_in_chaos_v1:decaying_zombie_not_despawn",122,"monster","net.mcreator.borninchaosv.entity.DecayingZombieNotDespawnEntity"
"Born in Chaos","born_in_chaos_v1:decrepit_skeleton",132,"monster","net.mcreator.borninchaosv.entity.DecrepitSkeletonEntity"
"Born in Chaos","born_in_chaos_v1:diamond_termite",145,"monster","net.mcreator.borninchaosv.entity.DiamondThermiteEntity"
"Born in Chaos","born_in_chaos_v1:dire_hound_leader",152,"monster","net.mcreator.borninchaosv.entity.DireHoundLeaderEntity"
"Born in Chaos","born_in_chaos_v1:door_knight",139,"monster","net.mcreator.borninchaosv.entity.DoorKnightEntity"
"Born in Chaos","born_in_chaos_v1:door_knight_not_despawn",123,"monster","net.mcreator.borninchaosv.entity.DoorKnightNotDespawnEntity"
