"Mod name","Registry name","ID","Category"
"Alex's Mobs","alexsmobs:alligator_snapping_turtle",267,"creature"
"Alex's Mobs","alexsmobs:anaconda",306,"creature"
"Alex's Mobs","alexsmobs:anaconda_part",307,"misc"
"Alex's Mobs","alexsmobs:anteater",309,"creature"
"Alex's Mobs","alexsmobs:bald_eagle",289,"creature"
"Alex's Mobs","alexsmobs:banana_slug",341,"creature"
"Alex's Mobs","alexsmobs:bison",319,"creature"
"Alex's Mobs","alexsmobs:blobfish",257,"water_ambient"
"Alex's Mobs","alexsmobs:blue_jay",342,"creature"
"Alex's Mobs","alexsmobs:bone_serpent",231,"monster"
"Alex's Mobs","alexsmobs:bone_serpent_part",232,"monster"
"Alex's Mobs","alexsmobs:bunfungus",318,"creature"
"Alex's Mobs","alexsmobs:cachalot_echo",285,"misc"
"Alex's Mobs","alexsmobs:cachalot_whale",284,"water_creature"
"Alex's Mobs","alexsmobs:capuchin_monkey",248,"creature"
"Alex's Mobs","alexsmobs:catfish",324,"water_ambient"
"Alex's Mobs","alexsmobs:centipede_body",251,"misc"
"Alex's Mobs","alexsmobs:centipede_head",250,"monster"
"Alex's Mobs","alexsmobs:centipede_tail",252,"misc"
"Alex's Mobs","alexsmobs:cockroach",259,"ambient"
"Alex's Mobs","alexsmobs:cockroach_egg",260,"misc"
"Alex's Mobs","alexsmobs:comb_jelly",316,"water_ambient"
"Alex's Mobs","alexsmobs:cosmaw",303,"creature"
"Alex's Mobs","alexsmobs:cosmic_cod",317,"ambient"
"Alex's Mobs","alexsmobs:crimson_mosquito",240,"monster"
"Alex's Mobs","alexsmobs:crocodile",234,"water_creature"
"Alex's Mobs","alexsmobs:crow",266,"creature"
"Alex's Mobs","alexsmobs:devils_hole_pupfish",323,"water_ambient"
"Alex's Mobs","alexsmobs:dropbear",281,"monster"
"Alex's Mobs","alexsmobs:elephant",262,"creature"
"Alex's Mobs","alexsmobs:emu",278,"creature"
"Alex's Mobs","alexsmobs:emu_egg",279,"misc"
"Alex's Mobs","alexsmobs:endergrade",243,"creature"
"Alex's Mobs","alexsmobs:enderiophage",287,"creature"
"Alex's Mobs","alexsmobs:enderiophage_rocket",288,"misc"
"Alex's Mobs","alexsmobs:farseer",333,"monster"
"Alex's Mobs","alexsmobs:fart",340,"misc"
"Alex's Mobs","alexsmobs:flutter",311,"ambient"
"Alex's Mobs","alexsmobs:fly",235,"ambient"
"Alex's Mobs","alexsmobs:flying_fish",325,"water_ambient"
"Alex's Mobs","alexsmobs:frilled_shark",296,"water_creature"
"Alex's Mobs","alexsmobs:froststalker",299,"creature"
"Alex's Mobs","alexsmobs:gazelle",233,"creature"
"Alex's Mobs","alexsmobs:gelada_monkey",313,"creature"
"Alex's Mobs","alexsmobs:giant_squid",320,"water_creature"
"Alex's Mobs","alexsmobs:gorilla",239,"creature"
"Alex's Mobs","alexsmobs:grizzly_bear",229,"creature"
"Alex's Mobs","alexsmobs:gust",272,"misc"
"Alex's Mobs","alexsmobs:guster",270,"monster"
"Alex's Mobs","alexsmobs:hammerhead_shark",244,"water_creature"
"Alex's Mobs","alexsmobs:hemolymph",274,"misc"
"Alex's Mobs","alexsmobs:hummingbird",236,"creature"
"Alex's Mobs","alexsmobs:ice_shard",300,"misc"
"Alex's Mobs","alexsmobs:jerboa",314,"ambient"
"Alex's Mobs","alexsmobs:kangaroo",283,"creature"
"Alex's Mobs","alexsmobs:komodo_dragon",247,"creature"
"Alex's Mobs","alexsmobs:laviathan",302,"creature"
"Alex's Mobs","alexsmobs:leafcutter_ant",286,"creature"
"Alex's Mobs","alexsmobs:lobster",246,"water_ambient"
