+---------------------------------------------+---------+-------------+-----------+-------------+----------+------------------+-------------------------------------------+
| Name                                        | Density | Temperature | Viscosity | Light Level | Rarity   | Lighter Than Air | Block                                     |
+---------------------------------------------+---------+-------------+-----------+-------------+----------+------------------+-------------------------------------------+
| biomesoplenty:blood                         |    3000 |         300 |      6000 |           0 | COMMON   |            false | biomesoplenty:blood                       |
| biomesoplenty:flowing_blood                 |    3000 |         300 |      6000 |           0 | COMMON   |            false | biomesoplenty:blood                       |
| cofh_core:experience                        |     250 |         300 |       500 |          10 | UNCOMMON |            false | -                                         |
| cofh_core:experience_flowing                |     250 |         300 |       500 |          10 | UNCOMMON |            false | -                                         |
| cofh_core:honey                             |    1500 |         300 |   1000000 |           0 | COMMON   |            false | -                                         |
| cofh_core:honey_flowing                     |    1500 |         300 |   1000000 |           0 | COMMON   |            false | -                                         |
| cofh_core:potion                            |    1100 |         300 |      1100 |           0 | COMMON   |            false | -                                         |
| cofh_core:potion_flowing                    |    1100 |         300 |      1100 |           0 | COMMON   |            false | -                                         |
| kaisascore:liquified_coal                   |    5000 |         909 |     10000 |           0 | COMMON   |            false | kaisascore:liquified_coal_block           |
| kaisascore:liquified_coal_flowing           |    5000 |         909 |     10000 |           0 | COMMON   |            false | kaisascore:liquified_coal_block           |
| minecraft:empty                             |       0 |           0 |         0 |           0 | COMMON   |             true | -                                         |
| minecraft:flowing_lava                      |    3000 |        1300 |      6000 |          15 | COMMON   |            false | minecraft:lava                            |
| minecraft:flowing_milk                      |    1024 |         300 |      1024 |           0 | COMMON   |            false | -                                         |
| minecraft:flowing_water                     |    1000 |         300 |      1000 |           0 | COMMON   |            false | minecraft:water                           |
| minecraft:lava                              |    3000 |        1300 |      6000 |          15 | COMMON   |            false | minecraft:lava                            |
| minecraft:milk                              |    1024 |         300 |      1024 |           0 | COMMON   |            false | -                                         |
| minecraft:water                             |    1000 |         300 |      1000 |           0 | COMMON   |            false | minecraft:water                           |
| tconstruct:beetroot_soup                    |    1000 |         400 |      1000 |           0 | COMMON   |            false | tconstruct:beetroot_soup_fluid            |
| tconstruct:blazing_blood                    |    3500 |        1800 |     10000 |          15 | COMMON   |            false | tconstruct:blazing_blood_fluid            |
| tconstruct:earth_slime                      |    1600 |         350 |      1600 |           0 | COMMON   |            false | tconstruct:earth_slime_fluid              |
| tconstruct:ender_slime                      |    1600 |         370 |      1600 |           0 | COMMON   |            false | tconstruct:ender_slime_fluid              |
| tconstruct:flowing_beetroot_soup            |    1000 |         400 |      1000 |           0 | COMMON   |            false | tconstruct:beetroot_soup_fluid            |
| tconstruct:flowing_blazing_blood            |    3500 |        1800 |     10000 |          15 | COMMON   |            false | tconstruct:blazing_blood_fluid            |
| tconstruct:flowing_earth_slime              |    1600 |         350 |      1600 |           0 | COMMON   |            false | tconstruct:earth_slime_fluid              |
| tconstruct:flowing_ender_slime              |    1600 |         370 |      1600 |           0 | COMMON   |            false | tconstruct:ender_slime_fluid              |
| tconstruct:flowing_honey                    |    1600 |         301 |      1600 |           0 | COMMON   |            false | tconstruct:honey_fluid                    |
| tconstruct:flowing_liquid_soul              |    2000 |         700 |     10000 |           2 | COMMON   |            false | tconstruct:liquid_soul_fluid              |
| tconstruct:flowing_magma                    |    1600 |         600 |      1600 |           3 | COMMON   |            false | tconstruct:magma_fluid                    |
| tconstruct:flowing_meat_soup                |    1000 |         400 |      1000 |           0 | COMMON   |            false | tconstruct:meat_soup_fluid                |
| tconstruct:flowing_molten_aluminum          |    2000 |         725 |     10000 |          12 | COMMON   |            false | tconstruct:molten_aluminum_fluid          |
| tconstruct:flowing_molten_amethyst          |    2000 |        1250 |     10000 |          11 | COMMON   |            false | tconstruct:molten_amethyst_fluid          |
| tconstruct:flowing_molten_amethyst_bronze   |    2000 |        1120 |     10000 |          12 | COMMON   |            false | tconstruct:molten_amethyst_bronze_fluid   |
| tconstruct:flowing_molten_brass             |    2000 |         905 |     10000 |          10 | COMMON   |            false | tconstruct:molten_brass_fluid             |
| tconstruct:flowing_molten_bronze            |    2000 |        1000 |     10000 |          10 | COMMON   |            false | tconstruct:molten_bronze_fluid            |
| tconstruct:flowing_molten_clay              |    2000 |         750 |     10000 |           3 | COMMON   |            false | tconstruct:molten_clay_fluid              |
| tconstruct:flowing_molten_cobalt            |    2000 |        1250 |     10000 |           8 | COMMON   |            false | tconstruct:molten_cobalt_fluid            |
| tconstruct:flowing_molten_constantan        |    2000 |        1220 |     10000 |          10 | COMMON   |            false | tconstruct:molten_constantan_fluid        |
| tconstruct:flowing_molten_copper            |    2000 |         800 |     10000 |          12 | COMMON   |            false | tconstruct:molten_copper_fluid            |
| tconstruct:flowing_molten_debris            |    2000 |        1475 |     10000 |          14 | COMMON   |            false | tconstruct:molten_debris_fluid            |
| tconstruct:flowing_molten_diamond           |    2000 |        1750 |     10000 |          13 | COMMON   |            false | tconstruct:molten_diamond_fluid           |
| tconstruct:flowing_molten_electrum          |    2000 |        1060 |     10000 |          10 | COMMON   |            false | tconstruct:molten_electrum_fluid          |
| tconstruct:flowing_molten_emerald           |    2000 |        1234 |     10000 |           9 | COMMON   |            false | tconstruct:molten_emerald_fluid           |
| tconstruct:flowing_molten_ender             |    2000 |         777 |     10000 |           5 | COMMON   |            false | tconstruct:molten_ender_fluid             |
