"Registry name","Display name","Hunger","Saturation","Is meat","Fast to eat","Tags","Effects"
"alexsdelight:acacia_blossom_soup","Acacia Blossom Soup",12,0.8,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"alexsdelight:bison_burger","Bison Burger",12,1.1,"false","false","",""
"alexsdelight:bison_mince","Bison Mince",2,0.2,"true","true","",""
"alexsdelight:bison_patty","Bison Patty",5,0.7,"true","true","",""
"alexsdelight:bunfungus_sandwich","Bunfungus Sandwich",10,1.0,"false","false","",""
"alexsdelight:cooked_bison","Cooked Bison",10,1.0,"true","false","",""
"alexsdelight:cooked_bunfungus","Cooked Bunfungus",7,0.7,"true","false","alexsdelight:cooked_bunfungus",""
"alexsdelight:cooked_bunfungus_drumstick","Cooked Bunfungus Drumstick",3,0.4,"true","true","alexsdelight:cooked_bunfungus",""
"alexsdelight:cooked_catfish_slice","Cooked Catfish Slice",3,0.3,"true","true","",""
"alexsdelight:cooked_centipede_leg","Cooked Centipede Leg",6,0.7,"true","false","",""
"alexsdelight:cooked_kangaroo_shank","Cooked Kangaroo Shank",4,0.4,"true","true","alexsdelight:cooked_kangaroo",""
"alexsdelight:cooked_loose_moose_rib","Cooked Loose Moose Rib",4,0.4,"true","true","",""
"alexsdelight:gongylidia_bruschetta","Gongylidia Bruschetta",10,1.0,"false","false","",""
"alexsdelight:kangaroo_pasta","Kangaroo Pasta",10,0.8,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"alexsdelight:kangaroo_shank","Kangaroo Shank",2,0.2,"true","true","",""
"alexsdelight:kangaroo_stew","Kangaroo Stew",10,0.8,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"alexsdelight:lobster_pasta","Lobster Pasta",10,0.8,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"alexsdelight:loose_moose_rib","Loose Moose Rib",2,0.2,"true","true","",""
"alexsdelight:maggot_salad","Maggot Salad",6,0.6,"false","false","","{[effect.minecraft.nausea, Duration: 1200], Probability: 1.0}"
"alexsdelight:raw_bison","Raw Bison",4,0.5,"true","false","",""
"alexsdelight:raw_bunfungus","Raw Bunfungus",4,0.4,"true","false","",""
"alexsdelight:raw_bunfungus_drumstick","Raw Bunfungus Drumstick",2,0.2,"true","true","",""
"alexsdelight:raw_catfish_slice","Raw Catfish Slice",1,0.2,"true","true","",""
"alexsmobs:banana","Banana",4,0.3,"false","false","alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs, alexsmobs:bananas, forge:fruits/banana, forge:crops/banana",""
"alexsmobs:blobfish","Blobfish",3,0.4,"true","false","alexsmobs:seal_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, minecraft:fishes, alexsmobs:shoebill_foodstuffs","{[effect.minecraft.poison, Duration: 120], Probability: 1.0}"
"alexsmobs:boiled_emu_egg","Boiled Emu Egg",4,1.0,"true","false","",""
"alexsmobs:cooked_catfish","Cooked Catfish",5,0.5,"true","false","alexsmobs:seal_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, minecraft:fishes, alexsmobs:shoebill_foodstuffs",""
"alexsmobs:cooked_kangaroo_meat","Cooked Kangaroo Meat",8,0.85,"true","false","alexsdelight:cooked_kangaroo",""
"alexsmobs:cooked_lobster_tail","Cooked Lobster Tail",6,0.65,"true","false","alexsmobs:seal_foodstuffs, alexsmobs:platypus_foodstuffs",""
"alexsmobs:cooked_moose_ribs","Cooked Moose Ribs",7,0.85,"true","false","",""
"alexsmobs:cosmic_cod","Cosmic Cod",6,0.3,"false","false","","{[alexsmobs.potion.ender_flu, Duration: 12000], Probability: 0.15}"
"alexsmobs:fish_oil","Fish Oil",0,0.2,"false","false","alexsmobs:bald_eagle_tameables",""
"alexsmobs:flying_fish","Flying Fish",3,0.4,"true","false","alexsmobs:seal_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, minecraft:fishes, alexsmobs:shoebill_foodstuffs",""
"alexsmobs:gongylidia","Gongylidia",3,1.2,"false","false","",""
"alexsmobs:kangaroo_burger","Kangaroo Burger",12,1.0,"true","false","",""
"alexsmobs:kangaroo_meat","Kangaroo Meat",4,0.6,"true","false","",""
"alexsmobs:lobster_tail","Lobster Tail",2,0.4,"true","false","alexsmobs:seal_foodstuffs, alexsmobs:platypus_foodstuffs",""
"alexsmobs:maggot","Maggot",1,0.2,"false","false","alexsmobs:platypus_foodstuffs, alexsmobs:insect_items, alexsmobs:blue_jay_foodstuffs",""
"alexsmobs:moose_ribs","Raw Moose Ribs",3,0.6,"true","false","",""
"alexsmobs:rainbow_jelly","Rainbow Jelly",1,0.2,"false","false","",""
