"Mod name","Registry name","Display name","Recipe name","Tags"
"AstikorCarts","astikorcarts:animal_cart","Animal Cart","astikorcarts:animal_cart",""
"AstikorCarts","astikorcarts:plow","Plow","astikorcarts:plow",""
"AstikorCarts","astikorcarts:supply_cart","Supply Cart","astikorcarts:supply_cart",""
"AstikorCarts","astikorcarts:wheel","Wheel","astikorcarts:wheel",""
"Autumnity","autumnity:chiseled_snail_shell_bricks","Chiseled Snail Shell Bricks","autumnity:chiseled_snail_shell_bricks",""
"Autumnity","autumnity:chiseled_snail_shell_bricks","Chiseled Snail Shell Bricks","autumnity:chiseled_snail_shell_bricks_from_snail_shell_bricks_stonecutting",""
"Autumnity","autumnity:cooked_turkey","Cooked Turkey","autumnity:cooked_turkey","farmersdelight:flat_on_cutting_board, forge:cooked_turkey"
"Autumnity","autumnity:cooked_turkey","Cooked Turkey","autumnity:cooked_turkey_from_campfire_cooking","farmersdelight:flat_on_cutting_board, forge:cooked_turkey"
"Autumnity","autumnity:cooked_turkey","Cooked Turkey","autumnity:cooked_turkey_from_smoking","farmersdelight:flat_on_cutting_board, forge:cooked_turkey"
"Autumnity","autumnity:cooked_turkey_piece","Cooked Turkey Piece","autumnity:cooked_turkey_piece","forge:cooked_turkey"
"Autumnity","autumnity:cooked_turkey_piece","Cooked Turkey Piece","autumnity:cooked_turkey_piece_from_campfire_cooking","forge:cooked_turkey"
"Autumnity","autumnity:cooked_turkey_piece","Cooked Turkey Piece","autumnity:cooked_turkey_piece_from_cooked_turkey","forge:cooked_turkey"
"Autumnity","autumnity:cooked_turkey_piece","Cooked Turkey Piece","autumnity:cooked_turkey_piece_from_smoking","forge:cooked_turkey"
"Autumnity","autumnity:foul_soup","Foul Soup","autumnity:foul_soup",""
"Autumnity","autumnity:large_jack_o_lantern_slice","Large Jack o'Lantern Slice","autumnity:large_jack_o_lantern_slice",""
"Autumnity","autumnity:large_pumpkin_slice","Large Pumpkin Slice","autumnity:large_pumpkin_slice","forge:pumpkins"
"Autumnity","autumnity:large_redstone_jack_o_lantern_slice","Large Redstone Jack o'Lantern Slice","autumnity:large_redstone_jack_o_lantern_slice",""
"Autumnity","autumnity:large_soul_jack_o_lantern_slice","Large Soul Jack o'Lantern Slice","autumnity:large_soul_jack_o_lantern_slice","minecraft:piglin_repellents"
"Autumnity","autumnity:maple_boat","Maple Boat","autumnity:maple_boat","minecraft:boats"
"Autumnity","autumnity:maple_bookshelf","Maple Bookshelf","autumnity:maple_bookshelf","forge:bookshelves"
"Autumnity","autumnity:maple_button","Maple Button","autumnity:maple_button","minecraft:wooden_buttons, minecraft:buttons"
"Autumnity","autumnity:maple_chest","Maple Chest","autumnity:maple_chest","quark:boatable_chests, balm:wooden_chests, quark:revertable_chests, forge:chests/wooden, forge:chests"
"Autumnity","autumnity:maple_chest","Maple Chest","autumnity:maple_chest_wood","quark:boatable_chests, balm:wooden_chests, quark:revertable_chests, forge:chests/wooden, forge:chests"
"Autumnity","autumnity:maple_chest_boat","Maple Boat with Chest","autumnity:maple_chest_boat","minecraft:boats, minecraft:chest_boats"
"Autumnity","autumnity:maple_door","Maple Door","autumnity:maple_door","minecraft:doors, minecraft:wooden_doors"
"Autumnity","autumnity:maple_fence","Maple Fence","autumnity:maple_fence","minecraft:wooden_fences, minecraft:fences, forge:fences/wooden, forge:fences"
"Autumnity","autumnity:maple_fence_gate","Maple Fence Gate","autumnity:maple_fence_gate","forge:fence_gates, forge:fence_gates/wooden, bookshelf:fence_gates"
"Autumnity","autumnity:maple_hedge","Maple Hedge","autumnity:maple_hedge","quark:hedges, supplementaries:flower_box_plantable"
"Autumnity","autumnity:maple_ladder","Maple Ladder","autumnity:maple_ladder","quark:ladders"
"Autumnity","autumnity:maple_leaf_banner_pattern","Banner Pattern","autumnity:maple_leaf_banner_pattern",""
"Autumnity","autumnity:maple_leaf_carpet","Maple Leaf Carpet","autumnity:maple_leaf_carpet",""
"Autumnity","autumnity:maple_leaf_pile","Pile of Maple Leaves","autumnity:maple_leaf_pile",""
"Autumnity","autumnity:maple_leaves","Maple Leaves","autumnity:maple_leaves_from_maple_leaf_pile","minecraft:leaves, minecraft:completes_find_tree_tutorial"
"Autumnity","autumnity:maple_planks","Maple Planks","autumnity:maple_planks","tconstruct:planklike, minecraft:planks"
"Autumnity","autumnity:maple_post","Maple Post","autumnity:maple_post",""
"Autumnity","autumnity:maple_pressure_plate","Maple Pressure Plate","autumnity:maple_pressure_plate","minecraft:wooden_pressure_plates"
"Autumnity","autumnity:maple_sign","Maple Sign","autumnity:maple_sign","minecraft:signs"
"Autumnity","autumnity:maple_slab","Maple Slab","autumnity:maple_slab","minecraft:wooden_slabs, minecraft:slabs"
"Autumnity","autumnity:maple_stairs","Maple Stairs","autumnity:maple_stairs","minecraft:stairs, minecraft:wooden_stairs"
"Autumnity","autumnity:maple_trapdoor","Maple Trapdoor","autumnity:maple_trapdoor","minecraft:wooden_trapdoors, minecraft:trapdoors"
"Autumnity","autumnity:maple_trapped_chest","Maple Trapped Chest","autumnity:maple_trapped_chest","forge:chests/trapped, forge:chests, forge:chests/wooden, balm:wooden_chests"
"Autumnity","autumnity:maple_vertical_slab","Maple Vertical Slab","autumnity:maple_vertical_slab","quark:wooden_vertical_slabs, quark:vertical_slabs"
"Autumnity","autumnity:maple_vertical_slab","Maple Vertical Slab","autumnity:maple_vertical_slab_revert","quark:wooden_vertical_slabs, quark:vertical_slabs"
"Autumnity","autumnity:maple_wood","Maple Wood","autumnity:maple_wood","minecraft:logs, minecraft:completes_find_tree_tutorial, minecraft:logs_that_burn, autumnity:maple_logs"
"Autumnity","autumnity:orange_maple_hedge","Orange Maple Hedge","autumnity:orange_maple_hedge","quark:hedges, supplementaries:flower_box_plantable"
"Autumnity","autumnity:orange_maple_leaf_carpet","Orange Maple Leaf Carpet","autumnity:orange_maple_leaf_carpet",""
"Autumnity","autumnity:orange_maple_leaf_pile","Pile of Orange Maple Leaves","autumnity:orange_maple_leaf_pile",""
"Autumnity","autumnity:orange_maple_leaves","Orange Maple Leaves","autumnity:orange_maple_leaves_from_orange_maple_leaf_pile","minecraft:leaves, minecraft:completes_find_tree_tutorial"
"Autumnity","autumnity:pancake","Pancake","autumnity:pancake",""
"Autumnity","autumnity:pumpkin_bread","Pumpkin Bread","autumnity:pumpkin_bread",""
"Autumnity","autumnity:red_maple_hedge","Red Maple Hedge","autumnity:red_maple_hedge","quark:hedges, supplementaries:flower_box_plantable"
"Autumnity","autumnity:red_maple_leaf_carpet","Red Maple Leaf Carpet","autumnity:red_maple_leaf_carpet",""
"Autumnity","autumnity:red_maple_leaf_pile","Pile of Red Maple Leaves","autumnity:red_maple_leaf_pile",""
"Autumnity","autumnity:red_maple_leaves","Red Maple Leaves","autumnity:red_maple_leaves_from_red_maple_leaf_pile","minecraft:leaves, minecraft:completes_find_tree_tutorial"
"Autumnity","autumnity:redstone_jack_o_lantern","Redstone Jack o'Lantern","autumnity:redstone_jack_o_lantern",""
"Autumnity","autumnity:sappy_maple_log","Sappy Maple Log","autumnity:sappy_maple_log_from_sap_bottle","minecraft:logs, minecraft:completes_find_tree_tutorial, minecraft:logs_that_burn, autumnity:maple_logs"
"Autumnity","autumnity:sappy_maple_wood","Sappy Maple Wood","autumnity:sappy_maple_wood","minecraft:logs, minecraft:completes_find_tree_tutorial, minecraft:logs_that_burn, autumnity:maple_logs"
"Autumnity","autumnity:sappy_maple_wood","Sappy Maple Wood","autumnity:sappy_maple_wood_from_sap_bottle","minecraft:logs, minecraft:completes_find_tree_tutorial, minecraft:logs_that_burn, autumnity:maple_logs"
"Autumnity","autumnity:snail_goo","Snail Goo","autumnity:snail_goo",""
"Autumnity","autumnity:snail_goo_block","Snail Goo Block","autumnity:snail_goo_block",""
"Autumnity","autumnity:snail_shell_block","Snail Shell Block","autumnity:snail_shell_block",""
"Autumnity","autumnity:snail_shell_brick_slab","Snail Shell Brick Slab","autumnity:snail_shell_brick_slab","minecraft:slabs"
"Autumnity","autumnity:snail_shell_brick_slab","Snail Shell Brick Slab","autumnity:snail_shell_brick_slab_from_snail_shell_bricks_stonecutting","minecraft:slabs"
"Autumnity","autumnity:snail_shell_brick_stairs","Snail Shell Brick Stairs","autumnity:snail_shell_brick_stairs","minecraft:stairs"
"Autumnity","autumnity:snail_shell_brick_stairs","Snail Shell Brick Stairs","autumnity:snail_shell_brick_stairs_from_snail_shell_bricks_stonecutting","minecraft:stairs"
"Autumnity","autumnity:snail_shell_brick_vertical_slab","Snail Shell Brick Vertical Slab","autumnity:snail_shell_brick_vertical_slab","quark:vertical_slabs"
"Autumnity","autumnity:snail_shell_brick_vertical_slab","Snail Shell Brick Vertical Slab","autumnity:snail_shell_brick_vertical_slab_from_snail_shell_bricks_stonecutting","quark:vertical_slabs"
"Autumnity","autumnity:snail_shell_brick_vertical_slab","Snail Shell Brick Vertical Slab","autumnity:snail_shell_brick_vertical_slab_revert","quark:vertical_slabs"
"Autumnity","autumnity:snail_shell_brick_wall","Snail Shell Brick Wall","autumnity:snail_shell_brick_wall","minecraft:walls"
"Autumnity","autumnity:snail_shell_brick_wall","Snail Shell Brick Wall","autumnity:snail_shell_brick_wall_from_snail_shell_bricks_stonecutting","minecraft:walls"
"Autumnity","autumnity:snail_shell_bricks","Snail Shell Bricks","autumnity:snail_shell_bricks",""
"Autumnity","autumnity:snail_shell_chestplate","Snail Shell Chestplate","autumnity:snail_shell_chestplate",""
"Autumnity","autumnity:snail_shell_piece","Snail Shell Piece","autumnity:snail_shell_piece",""
"Autumnity","autumnity:snail_shell_tile_slab","Snail Shell Tile Slab","autumnity:snail_shell_tile_slab","minecraft:slabs"
"Autumnity","autumnity:snail_shell_tile_slab","Snail Shell Tile Slab","autumnity:snail_shell_tile_slab_from_snail_shell_bricks_stonecutting","minecraft:slabs"
"Autumnity","autumnity:snail_shell_tile_slab","Snail Shell Tile Slab","autumnity:snail_shell_tile_slab_from_snail_shell_tiles_stonecutting","minecraft:slabs"
"Autumnity","autumnity:snail_shell_tile_stairs","Snail Shell Tile Stairs","autumnity:snail_shell_tile_stairs","minecraft:stairs"
"Autumnity","autumnity:snail_shell_tile_stairs","Snail Shell Tile Stairs","autumnity:snail_shell_tile_stairs_from_snail_shell_bricks_stonecutting","minecraft:stairs"
"Autumnity","autumnity:snail_shell_tile_stairs","Snail Shell Tile Stairs","autumnity:snail_shell_tile_stairs_from_snail_shell_tiles_stonecutting","minecraft:stairs"
"Autumnity","autumnity:snail_shell_tile_vertical_slab","Snail Shell Tile Vertical Slab","autumnity:snail_shell_tile_vertical_slab","quark:vertical_slabs"
"Autumnity","autumnity:snail_shell_tile_vertical_slab","Snail Shell Tile Vertical Slab","autumnity:snail_shell_tile_vertical_slab_from_snail_shell_bricks_stonecutting","quark:vertical_slabs"
