+----------------------------------+---------------------------------------------------------+------------------------------+------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                         | Registry name                                           | Display name                 | Max Damage | Tags                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
+----------------------------------+---------------------------------------------------------+------------------------------+------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Autumnity                        | autumnity:snail_shell_chestplate                        | Snail Shell Chestplate       | 368        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:charmof_endurance                      | §eCharm of Endurance         | 5          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:charmof_fury                           | §4Charm of Fury              | 5          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:charmof_power                          | §cCharm of Strength          | 5          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:charmof_resistance                     | §bCharm of Resistance        | 5          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:charmof_stealth                        | §2Charm of Stealth           | 5          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:dark_metal_armor_boots                 | §6Dark Metal Boots           | 650        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:dark_metal_armor_chestplate            | §6Dark Metal Chestplate      | 800        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:dark_metal_armor_helmet                | §6Dark Metal Helmet          | 550        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:dark_metal_armor_leggings              | §6Dark Metal Leggings        | 750        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:dark_ritual_dagger                     | §6Dark Ritual Dagger         | 700        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:darkwarblade                           | §6Dark Warblade              | 4000       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:great_reaper_axe                       | §6Great Reaper Axe           | 1100       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:intoxicating_dagger                    | §6Intoxicating Dagger        | 1100       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:nightmare_mantleofthe_night_boots      | §6Nightmare Boots            | 390        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:nightmare_mantleofthe_night_chestplate | §6Nightmare Robe             | 480        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:nightmare_mantleofthe_night_helmet     | §6Nightmare Mask             | 330        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:nightmare_mantleofthe_night_leggings   | §6Nightmare Pants            | 450        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:nightmare_scythe                       | §6Nightmare Scythe           | 700        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:pumpkin_pistol                         | §6Pumpkin Pistol             | 3000       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:pumpkin_pistol_2                       | §6Pumpkin Pistol             | 2000       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:pumpkin_staff                          | §6Pumpkin Staff              | 900        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:pumpkin_staff_2                        | §6Pumpkin Staff              | 2000       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:sharpened_dark_metal_sword             | §6Sharpened Dark Metal Sword | 1100       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:shell_mace                             | §6Shell Mace                 | 500        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:skullbreaker_hammer                    | §6Skullbreaker Hammer        | 1700       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:soul_cutlass                           | §6Soul Saber                 | 700        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:soulbane                               | §6Soulbane                   | 3000       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:spiny_shell_armor_chestplate           | §6Spiny Shell Chestplate     | 320        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:spiny_shell_armor_helmet               | §6Spiny Shell Helmet         | 220        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:spiritual_sword                        | §6Spirit Divider             | 500        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:staffof_blindness                      | Staff of Blindness           | 100        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:staffof_magic_arrows                   | §6Staff of Magic Arrows      | 150        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:staffof_magic_arrows_2                 | §6Staff of Magic Arrows      | 150        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:staffofthe_summoner                    | §6Bonescaller Staff          | 150        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:trident_hayfork                        | §6Pitchfork                  | 270        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Born in Chaos                    | born_in_chaos_v1:wood_splitter_axe                      | §6Wood Splitter              | 270        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Desolation (Forge)               | desolation:ash_pile                                     | Ash Pile                     | 8          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
