+----------------------------------+---------------------------------------------+------------------------------+---------------------------------------------------------------+
| Mod name                         | Registry name                               | Display name                 | Tier                                                          |
+----------------------------------+---------------------------------------------+------------------------------+---------------------------------------------------------------+
| Born in Chaos                    | born_in_chaos_v1:dark_ritual_dagger         | §6Dark Ritual Dagger         | uses: 700, level: 4, speed: 4.000, dmgbns: 3.000, ench: 10    |
| Born in Chaos                    | born_in_chaos_v1:darkwarblade               | §6Dark Warblade              | uses: 4000, level: 4, speed: 14.000, dmgbns: 16.000, ench: 17 |
| Born in Chaos                    | born_in_chaos_v1:great_reaper_axe           | §6Great Reaper Axe           | uses: 1100, level: 4, speed: 10.000, dmgbns: 8.000, ench: 17  |
| Born in Chaos                    | born_in_chaos_v1:intoxicating_dagger        | §6Intoxicating Dagger        | uses: 1100, level: 4, speed: 7.000, dmgbns: 2.000, ench: 17   |
| Born in Chaos                    | born_in_chaos_v1:nightmare_scythe           | §6Nightmare Scythe           | uses: 700, level: 4, speed: 7.000, dmgbns: 6.000, ench: 17    |
| Born in Chaos                    | born_in_chaos_v1:sharpened_dark_metal_sword | §6Sharpened Dark Metal Sword | uses: 1100, level: 4, speed: 7.000, dmgbns: 3.000, ench: 17   |
| Born in Chaos                    | born_in_chaos_v1:shell_mace                 | §6Shell Mace                 | uses: 500, level: 4, speed: 7.000, dmgbns: 4.000, ench: 20    |
| Born in Chaos                    | born_in_chaos_v1:skullbreaker_hammer        | §6Skullbreaker Hammer        | uses: 1700, level: 4, speed: 10.000, dmgbns: 7.000, ench: 17  |
| Born in Chaos                    | born_in_chaos_v1:soul_cutlass               | §6Soul Saber                 | uses: 700, level: 4, speed: 7.000, dmgbns: 2.000, ench: 17    |
| Born in Chaos                    | born_in_chaos_v1:soulbane                   | §6Soulbane                   | uses: 3000, level: 5, speed: 12.000, dmgbns: 8.000, ench: 22  |
| Born in Chaos                    | born_in_chaos_v1:spiritual_sword            | §6Spirit Divider             | uses: 500, level: 3, speed: 5.000, dmgbns: 1.000, ench: 15    |
| Born in Chaos                    | born_in_chaos_v1:supreme_measure            | §4Supreme Measure            | uses: 0, level: 50, speed: 50.000, dmgbns: 4998.000, ench: 50 |
| Born in Chaos                    | born_in_chaos_v1:wood_splitter_axe          | §6Wood Splitter              | uses: 270, level: 3, speed: 10.000, dmgbns: 8.000, ench: 17   |
| Farmer's Delight                 | farmersdelight:diamond_knife                | Diamond Knife                | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Farmer's Delight                 | farmersdelight:flint_knife                  | Flint Knife                  | uses: 131, level: 1, speed: 4.000, dmgbns: 1.000, ench: 5     |
| Farmer's Delight                 | farmersdelight:golden_knife                 | Golden Knife                 | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Farmer's Delight                 | farmersdelight:iron_knife                   | Iron Knife                   | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Farmer's Delight                 | farmersdelight:netherite_knife              | Netherite Knife              | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Kaisa's Endless Adventure's core | kaisascore:bronze_pickaxe                   | Bronze Pickaxe               | uses: 256, level: 2, speed: 4.500, dmgbns: 2.000, ench: 10    |
| Kaisa's Endless Adventure's core | kaisascore:constantan_pickaxe               | Constantan Pickaxe           | uses: 512, level: 3, speed: 5.000, dmgbns: 2.000, ench: 0     |
| Kaisa's Endless Adventure's core | kaisascore:copper_pickaxe                   | Copper Pickaxe               | uses: 128, level: 1, speed: 3.300, dmgbns: 1.000, ench: 5     |
| Kaisa's Endless Adventure's core | kaisascore:diamond_pickaxe                  | Diamond Pickaxe              | uses: 1536, level: 4, speed: 9.000, dmgbns: 5.000, ench: 30   |
| Kaisa's Endless Adventure's core | kaisascore:electrum_pickaxe                 | Electrum Pickaxe             | uses: 1024, level: 4, speed: 8.000, dmgbns: 5.000, ench: 22   |
| Kaisa's Endless Adventure's core | kaisascore:flint_axe                        | Flint Axe                    | uses: 64, level: 0, speed: 1.200, dmgbns: 0.000, ench: 2      |
| Kaisa's Endless Adventure's core | kaisascore:flint_pick                       | Flint Pick                   | uses: 64, level: 0, speed: 1.200, dmgbns: 0.000, ench: 2      |
| Kaisa's Endless Adventure's core | kaisascore:golden_pickaxe                   | Golden Pickaxe               | uses: 64, level: 3, speed: 24.000, dmgbns: 4.000, ench: 22    |
| Kaisa's Endless Adventure's core | kaisascore:invar_pickaxe                    | Invar Pickaxe                | uses: 768, level: 3, speed: 7.000, dmgbns: 3.000, ench: 0     |
| Kaisa's Endless Adventure's core | kaisascore:iron_pickaxe                     | Iron Pickaxe                 | uses: 256, level: 2, speed: 4.500, dmgbns: 2.000, ench: 5     |
| Kaisa's Endless Adventure's core | kaisascore:lead_pickaxe                     | Lead Pickaxe                 | uses: 256, level: 1, speed: 3.300, dmgbns: 3.000, ench: 2     |
| Kaisa's Endless Adventure's core | kaisascore:nickel_pickaxe                   | Nickel Pickaxe               | uses: 384, level: 2, speed: 4.500, dmgbns: 2.000, ench: 0     |
| Kaisa's Endless Adventure's core | kaisascore:silver_pickaxe                   | Silver Pickaxe               | uses: 384, level: 3, speed: 6.000, dmgbns: 4.000, ench: 22    |
| Kaisa's Endless Adventure's core | kaisascore:steel_pickaxe                    | Steel Pickaxe                | uses: 512, level: 3, speed: 6.000, dmgbns: 3.000, ench: 8     |
| Kaisa's Endless Adventure's core | kaisascore:tin_pickaxe                      | Tin Pickaxe                  | uses: 16, level: 0, speed: 0.800, dmgbns: -1.000, ench: 10    |
| Kaisa's Endless Adventure's core | kaisascore:titanium_pickaxe                 | Titanium Pickaxe             | uses: 3072, level: 4, speed: 12.000, dmgbns: 6.000, ench: 10  |
| Minecraft                        | minecraft:diamond_axe                       | Diamond Axe                  | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Minecraft                        | minecraft:diamond_hoe                       | Diamond Hoe                  | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Minecraft                        | minecraft:diamond_pickaxe                   | [REMOVED] Diamond Pickaxe    | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Minecraft                        | minecraft:diamond_shovel                    | Diamond Shovel               | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Minecraft                        | minecraft:diamond_sword                     | Diamond Sword                | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Minecraft                        | minecraft:golden_axe                        | Golden Axe                   | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Minecraft                        | minecraft:golden_hoe                        | Golden Hoe                   | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Minecraft                        | minecraft:golden_pickaxe                    | [REMOVED] Golden Pickaxe     | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Minecraft                        | minecraft:golden_shovel                     | Golden Shovel                | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Minecraft                        | minecraft:golden_sword                      | Golden Sword                 | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Minecraft                        | minecraft:iron_axe                          | Iron Axe                     | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Minecraft                        | minecraft:iron_hoe                          | Iron Hoe                     | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Minecraft                        | minecraft:iron_pickaxe                      | [REMOVED] Iron Pickaxe       | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Minecraft                        | minecraft:iron_shovel                       | Iron Shovel                  | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Minecraft                        | minecraft:iron_sword                        | Iron Sword                   | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Minecraft                        | minecraft:netherite_axe                     | Netherite Axe                | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Minecraft                        | minecraft:netherite_hoe                     | Netherite Hoe                | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Minecraft                        | minecraft:netherite_pickaxe                 | [REMOVED] Netherite Pickaxe  | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Minecraft                        | minecraft:netherite_shovel                  | Netherite Shovel             | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Minecraft                        | minecraft:netherite_sword                   | Netherite Sword              | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Minecraft                        | minecraft:stone_axe                         | Stone Axe                    | uses: 131, level: 1, speed: 4.000, dmgbns: 1.000, ench: 5     |
| Minecraft                        | minecraft:stone_hoe                         | Stone Hoe                    | uses: 131, level: 1, speed: 4.000, dmgbns: 1.000, ench: 5     |
| Minecraft                        | minecraft:stone_pickaxe                     | [REMOVED] Stone Pickaxe      | uses: 131, level: 1, speed: 4.000, dmgbns: 1.000, ench: 5     |
| Minecraft                        | minecraft:stone_shovel                      | Stone Shovel                 | uses: 131, level: 1, speed: 4.000, dmgbns: 1.000, ench: 5     |
| Minecraft                        | minecraft:stone_sword                       | Stone Sword                  | uses: 131, level: 1, speed: 4.000, dmgbns: 1.000, ench: 5     |
| Minecraft                        | minecraft:wooden_axe                        | Wooden Axe                   | uses: 59, level: 0, speed: 2.000, dmgbns: 0.000, ench: 15     |
| Minecraft                        | minecraft:wooden_hoe                        | Wooden Hoe                   | uses: 59, level: 0, speed: 2.000, dmgbns: 0.000, ench: 15     |
| Minecraft                        | minecraft:wooden_pickaxe                    | [REMOVED] Wooden Pickaxe     | uses: 59, level: 0, speed: 2.000, dmgbns: 0.000, ench: 15     |
| Minecraft                        | minecraft:wooden_shovel                     | Wooden Shovel                | uses: 59, level: 0, speed: 2.000, dmgbns: 0.000, ench: 15     |
| Minecraft                        | minecraft:wooden_sword                      | Wooden Sword                 | uses: 59, level: 0, speed: 2.000, dmgbns: 0.000, ench: 15     |
| Savage & Ravage                  | savage_and_ravage:cleaver_of_beheading      | Cleaver of Beheading         | uses: 459, level: 0, speed: 0.000, dmgbns: 0.000, ench: 10    |
| Simply Swords                    | simplyswords:arcanethyst                    | Arcanethyst                  | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:awakened_lichblade             | Awakened Lichblade           | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:bramblethorn                   | Bramblethorn                 | uses: 59, level: 0, speed: 2.000, dmgbns: 0.000, ench: 15     |
| Simply Swords                    | simplyswords:brimstone_claymore             | Brimstone Claymore           | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:diamond_chakram                | Diamond Chakram              | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_claymore               | Diamond Claymore             | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_cutlass                | Diamond Cutlass              | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_glaive                 | Diamond Glaive               | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_greataxe               | Diamond Greataxe             | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_greathammer            | Diamond Greathammer          | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
