"Mod name","Registry name","Item ID","Display name","Tags"
"Alex's Delight","alexsdelight:acacia_blossom_soup",7064,"Acacia Blossom Soup",""
"Alex's Delight","alexsdelight:bison_burger",7066,"Bison Burger",""
"Alex's Delight","alexsdelight:bison_mince",7050,"Bison Mince",""
"Alex's Delight","alexsdelight:bison_patty",7051,"Bison Patty",""
"Alex's Delight","alexsdelight:bunfungus_sandwich",7067,"Bunfungus Sandwich",""
"Alex's Delight","alexsdelight:cooked_bison",7057,"Cooked Bison",""
"Alex's Delight","alexsdelight:cooked_bunfungus",7059,"Cooked Bunfungus","alexsdelight:cooked_bunfungus"
"Alex's Delight","alexsdelight:cooked_bunfungus_drumstick",7053,"Cooked Bunfungus Drumstick","alexsdelight:cooked_bunfungus"
"Alex's Delight","alexsdelight:cooked_catfish_slice",7054,"Cooked Catfish Slice",""
"Alex's Delight","alexsdelight:cooked_centipede_leg",7060,"Cooked Centipede Leg",""
"Alex's Delight","alexsdelight:cooked_kangaroo_shank",7047,"Cooked Kangaroo Shank","alexsdelight:cooked_kangaroo"
"Alex's Delight","alexsdelight:cooked_loose_moose_rib",7049,"Cooked Loose Moose Rib",""
"Alex's Delight","alexsdelight:gongylidia_bruschetta",7061,"Gongylidia Bruschetta",""
"Alex's Delight","alexsdelight:kangaroo_pasta",7068,"Kangaroo Pasta",""
"Alex's Delight","alexsdelight:kangaroo_shank",7046,"Kangaroo Shank",""
"Alex's Delight","alexsdelight:kangaroo_stew",7063,"Kangaroo Stew",""
"Alex's Delight","alexsdelight:lobster_pasta",7065,"Lobster Pasta",""
"Alex's Delight","alexsdelight:loose_moose_rib",7048,"Loose Moose Rib",""
"Alex's Delight","alexsdelight:maggot_salad",7062,"Maggot Salad",""
"Alex's Delight","alexsdelight:raw_bison",7056,"Raw Bison",""
"Alex's Delight","alexsdelight:raw_bunfungus",7058,"Raw Bunfungus",""
"Alex's Delight","alexsdelight:raw_bunfungus_drumstick",7052,"Raw Bunfungus Drumstick",""
"Alex's Delight","alexsdelight:raw_catfish_slice",7055,"Raw Catfish Slice",""
"Alex's Mobs","alexsmobs:acacia_blossom",3215,"Acacia Blossom","supplementaries:flower_box_plantable, alexsmobs:tiger_breedables, alexsmobs:elephant_foodstuffs, minecraft:flowers"
"Alex's Mobs","alexsmobs:ambergris",3240,"Ambergris",""
"Alex's Mobs","alexsmobs:ancient_dart",3181,"Ancient Dart",""
"Alex's Mobs","alexsmobs:animal_dictionary",3169,"Animal Dictionary","minecraft:lectern_books"
"Alex's Mobs","alexsmobs:banana",3180,"Banana","alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs, alexsmobs:bananas, forge:fruits/banana, forge:crops/banana"
"Alex's Mobs","alexsmobs:banana_peel",3315,"Banana Peel",""
"Alex's Mobs","alexsmobs:banana_slug_slime",3312,"Banana Slug Slime",""
"Alex's Mobs","alexsmobs:banana_slug_slime_block",3334,"Banana Slug Slime Block",""
"Alex's Mobs","alexsmobs:banner_pattern_australia_0",3153,"Banner Pattern",""
"Alex's Mobs","alexsmobs:banner_pattern_australia_1",3154,"Banner Pattern",""
"Alex's Mobs","alexsmobs:banner_pattern_bear",3152,"Banner Pattern",""
"Alex's Mobs","alexsmobs:banner_pattern_brazil",3156,"Banner Pattern",""
"Alex's Mobs","alexsmobs:banner_pattern_new_mexico",3155,"Banner Pattern",""
"Alex's Mobs","alexsmobs:bear_dust",3171,"Bear Dust",""
"Alex's Mobs","alexsmobs:bear_fur",3170,"Hair of Bear","alexsmobs:animal_dictionary_ingredient"
"Alex's Mobs","alexsmobs:bison_carpet",3328,"Bison Fur Carpet",""
"Alex's Mobs","alexsmobs:bison_fur",3281,"Bison Fur",""
"Alex's Mobs","alexsmobs:bison_fur_block",3327,"Block of Bison Fur",""
