+----------------------------------------------+----+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                                | ID | Effects                                                                                                                                                                                                                                                                                                                        |
+----------------------------------------------+----+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| autumnity:extension                          | 56 | MobEffectInstance:{MobEffect:[reg:autumnity:extension,name:effect.autumnity.extension,isBad:false,isBeneficial:true],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                                |
| born_in_chaos_v1:intoxication_potion         | 44 | MobEffectInstance:{MobEffect:[reg:born_in_chaos_v1:intoxication,name:effect.born_in_chaos_v1.intoxication,isBad:true,isBeneficial:false],amplifier:0,duration:800,isAmbient:false}                                                                                                                                             |
| born_in_chaos_v1:potion_of_magical_depletion | 43 | MobEffectInstance:{MobEffect:[reg:born_in_chaos_v1:magic_depletion,name:effect.born_in_chaos_v1.magic_depletion,isBad:true,isBeneficial:false],amplifier:1,duration:4200,isAmbient:false}                                                                                                                                      |
| desolation:potion_of_cinder_soul             | 45 | MobEffectInstance:{MobEffect:[reg:desolation:potion_of_cinder_soul,name:effect.desolation.potion_of_cinder_soul,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                      |
| minecraft:awkward                            |  4 |                                                                                                                                                                                                                                                                                                                                |
| minecraft:empty                              |  0 |                                                                                                                                                                                                                                                                                                                                |
| minecraft:fire_resistance                    | 12 | MobEffectInstance:{MobEffect:[reg:minecraft:fire_resistance,name:effect.minecraft.fire_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                    |
| minecraft:harming                            | 27 | MobEffectInstance:{MobEffect:[reg:minecraft:instant_damage,name:effect.minecraft.instant_damage,isBad:true,isBeneficial:false],amplifier:0,duration:1,isAmbient:false}                                                                                                                                                         |
| minecraft:healing                            | 25 | MobEffectInstance:{MobEffect:[reg:minecraft:instant_health,name:effect.minecraft.instant_health,isBad:false,isBeneficial:true],amplifier:0,duration:1,isAmbient:false}                                                                                                                                                         |
| minecraft:invisibility                       |  7 | MobEffectInstance:{MobEffect:[reg:minecraft:invisibility,name:effect.minecraft.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                          |
| minecraft:leaping                            |  9 | MobEffectInstance:{MobEffect:[reg:minecraft:jump_boost,name:effect.minecraft.jump_boost,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                              |
| minecraft:long_fire_resistance               | 13 | MobEffectInstance:{MobEffect:[reg:minecraft:fire_resistance,name:effect.minecraft.fire_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                    |
| minecraft:long_invisibility                  |  8 | MobEffectInstance:{MobEffect:[reg:minecraft:invisibility,name:effect.minecraft.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                          |
| minecraft:long_leaping                       | 10 | MobEffectInstance:{MobEffect:[reg:minecraft:jump_boost,name:effect.minecraft.jump_boost,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                              |
| minecraft:long_night_vision                  |  6 | MobEffectInstance:{MobEffect:[reg:minecraft:night_vision,name:effect.minecraft.night_vision,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                          |
| minecraft:long_poison                        | 30 | MobEffectInstance:{MobEffect:[reg:minecraft:poison,name:effect.minecraft.poison,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                                      |
| minecraft:long_regeneration                  | 33 | MobEffectInstance:{MobEffect:[reg:minecraft:regeneration,name:effect.minecraft.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                          |
| minecraft:long_slow_falling                  | 42 | MobEffectInstance:{MobEffect:[reg:minecraft:slow_falling,name:effect.minecraft.slow_falling,isBad:false,isBeneficial:true],amplifier:0,duration:4800,isAmbient:false}                                                                                                                                                          |
| minecraft:long_slowness                      | 18 | MobEffectInstance:{MobEffect:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isAmbient:false}                                                                                                                                                                  |
| minecraft:long_strength                      | 36 | MobEffectInstance:{MobEffect:[reg:minecraft:strength,name:effect.minecraft.strength,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                                  |
| minecraft:long_swiftness                     | 15 | MobEffectInstance:{MobEffect:[reg:minecraft:speed,name:effect.minecraft.speed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                                        |
| minecraft:long_turtle_master                 | 21 | MobEffectInstance:{MobEffect:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:3,duration:800,isAmbient:false}, MobEffectInstance:{MobEffect:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:2,duration:800,isAmbient:false} |
| minecraft:long_water_breathing               | 24 | MobEffectInstance:{MobEffect:[reg:minecraft:water_breathing,name:effect.minecraft.water_breathing,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                    |
| minecraft:long_weakness                      | 39 | MobEffectInstance:{MobEffect:[reg:minecraft:weakness,name:effect.minecraft.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isAmbient:false}                                                                                                                                                                  |
| minecraft:luck                               | 40 | MobEffectInstance:{MobEffect:[reg:minecraft:luck,name:effect.minecraft.luck,isBad:false,isBeneficial:true],amplifier:0,duration:6000,isAmbient:false}                                                                                                                                                                          |
| minecraft:mundane                            |  2 |                                                                                                                                                                                                                                                                                                                                |
| minecraft:night_vision                       |  5 | MobEffectInstance:{MobEffect:[reg:minecraft:night_vision,name:effect.minecraft.night_vision,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                          |
| minecraft:poison                             | 29 | MobEffectInstance:{MobEffect:[reg:minecraft:poison,name:effect.minecraft.poison,isBad:true,isBeneficial:false],amplifier:0,duration:900,isAmbient:false}                                                                                                                                                                       |
| minecraft:regeneration                       | 32 | MobEffectInstance:{MobEffect:[reg:minecraft:regeneration,name:effect.minecraft.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:900,isAmbient:false}                                                                                                                                                           |
| minecraft:slow_falling                       | 41 | MobEffectInstance:{MobEffect:[reg:minecraft:slow_falling,name:effect.minecraft.slow_falling,isBad:false,isBeneficial:true],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                          |
| minecraft:slowness                           | 17 | MobEffectInstance:{MobEffect:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                                  |
| minecraft:strength                           | 35 | MobEffectInstance:{MobEffect:[reg:minecraft:strength,name:effect.minecraft.strength,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                                  |
| minecraft:strong_harming                     | 28 | MobEffectInstance:{MobEffect:[reg:minecraft:instant_damage,name:effect.minecraft.instant_damage,isBad:true,isBeneficial:false],amplifier:1,duration:1,isAmbient:false}                                                                                                                                                         |
| minecraft:strong_healing                     | 26 | MobEffectInstance:{MobEffect:[reg:minecraft:instant_health,name:effect.minecraft.instant_health,isBad:false,isBeneficial:true],amplifier:1,duration:1,isAmbient:false}                                                                                                                                                         |
| minecraft:strong_leaping                     | 11 | MobEffectInstance:{MobEffect:[reg:minecraft:jump_boost,name:effect.minecraft.jump_boost,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                              |
| minecraft:strong_poison                      | 31 | MobEffectInstance:{MobEffect:[reg:minecraft:poison,name:effect.minecraft.poison,isBad:true,isBeneficial:false],amplifier:1,duration:432,isAmbient:false}                                                                                                                                                                       |
| minecraft:strong_regeneration                | 34 | MobEffectInstance:{MobEffect:[reg:minecraft:regeneration,name:effect.minecraft.regeneration,isBad:false,isBeneficial:true],amplifier:1,duration:450,isAmbient:false}                                                                                                                                                           |
| minecraft:strong_slowness                    | 19 | MobEffectInstance:{MobEffect:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:3,duration:400,isAmbient:false}                                                                                                                                                                   |
| minecraft:strong_strength                    | 37 | MobEffectInstance:{MobEffect:[reg:minecraft:strength,name:effect.minecraft.strength,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                                  |
| minecraft:strong_swiftness                   | 16 | MobEffectInstance:{MobEffect:[reg:minecraft:speed,name:effect.minecraft.speed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                                        |
| minecraft:strong_turtle_master               | 22 | MobEffectInstance:{MobEffect:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:5,duration:400,isAmbient:false}, MobEffectInstance:{MobEffect:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:3,duration:400,isAmbient:false} |
| minecraft:swiftness                          | 14 | MobEffectInstance:{MobEffect:[reg:minecraft:speed,name:effect.minecraft.speed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                                        |
| minecraft:thick                              |  3 |                                                                                                                                                                                                                                                                                                                                |
| minecraft:turtle_master                      | 20 | MobEffectInstance:{MobEffect:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:3,duration:400,isAmbient:false}, MobEffectInstance:{MobEffect:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:2,duration:400,isAmbient:false} |
| minecraft:water                              |  1 |                                                                                                                                                                                                                                                                                                                                |
| minecraft:water_breathing                    | 23 | MobEffectInstance:{MobEffect:[reg:minecraft:water_breathing,name:effect.minecraft.water_breathing,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                    |
| minecraft:weakness                           | 38 | MobEffectInstance:{MobEffect:[reg:minecraft:weakness,name:effect.minecraft.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                                  |
| quark:long_resilience                        | 58 | MobEffectInstance:{MobEffect:[reg:quark:resilience,name:effect.quark.resilience,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                                      |
| quark:resilience                             | 57 | MobEffectInstance:{MobEffect:[reg:quark:resilience,name:effect.quark.resilience,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                                      |
| quark:strong_resilience                      | 59 | MobEffectInstance:{MobEffect:[reg:quark:resilience,name:effect.quark.resilience,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                                      |
| upgrade_aquatic:insomnia                     | 46 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:insomnia,name:effect.upgrade_aquatic.insomnia,isBad:true,isBeneficial:false],amplifier:0,duration:0,isAmbient:false}                                                                                                                                                         |
