+------------------------------------------------------------+------+
| Registry name                                              |   ID |
+------------------------------------------------------------+------+
| astikorcarts:entity.cart.attach                            | 1733 |
| astikorcarts:entity.cart.detach                            | 1734 |
| astikorcarts:entity.cart.place                             | 1735 |
| autumnity:block.turkey.cut                                 | 1745 |
| autumnity:entity.snail.death                               | 1738 |
| autumnity:entity.snail.eat                                 | 1736 |
| autumnity:entity.snail.hurt                                | 1737 |
| autumnity:entity.snail.step                                | 1739 |
| autumnity:entity.turkey.aggro                              | 1741 |
| autumnity:entity.turkey.ambient                            | 1740 |
| autumnity:entity.turkey.death                              | 1743 |
| autumnity:entity.turkey.egg                                | 1744 |
| autumnity:entity.turkey.hurt                               | 1742 |
| autumnity:item.armor.equip_snail                           | 1746 |
| bettercombat:anchor_slam                                   | 1706 |
| bettercombat:axe_slash                                     | 1707 |
| bettercombat:claymore_slam                                 | 1710 |
| bettercombat:claymore_stab                                 | 1709 |
| bettercombat:claymore_swing                                | 1708 |
| bettercombat:dagger_slash                                  | 1711 |
| bettercombat:double_axe_swing                              | 1712 |
| bettercombat:fist_punch                                    | 1713 |
| bettercombat:glaive_slash_quick                            | 1714 |
| bettercombat:glaive_slash_slow                             | 1715 |
| bettercombat:hammer_slam                                   | 1716 |
| bettercombat:katana_slash                                  | 1717 |
| bettercombat:mace_slam                                     | 1718 |
| bettercombat:mace_slash                                    | 1719 |
| bettercombat:pickaxe_swing                                 | 1720 |
| bettercombat:rapier_slash                                  | 1721 |
| bettercombat:rapier_stab                                   | 1722 |
| bettercombat:scythe_slash                                  | 1723 |
| bettercombat:sickle_slash                                  | 1729 |
| bettercombat:spear_stab                                    | 1724 |
| bettercombat:staff_slam                                    | 1725 |
| bettercombat:staff_slash                                   | 1726 |
| bettercombat:staff_spin                                    | 1727 |
| bettercombat:staff_stab                                    | 1728 |
| bettercombat:sword_slash                                   | 1730 |
| bettercombat:wand_swing                                    | 1731 |
| biomesoplenty:music.nether.crystalline_chasm               | 1701 |
| biomesoplenty:music.nether.erupting_inferno                | 1702 |
| biomesoplenty:music.nether.undergrowth                     | 1703 |
| biomesoplenty:music.nether.visceral_heap                   | 1704 |
| biomesoplenty:music.nether.withered_abyss                  | 1705 |
| biomesoplenty:music.overworld.origin_valley                | 1700 |
| biomesoplenty:music_disc.wanderer                          | 1699 |
| born_in_chaos_v1:brute_zombie_attack                       | 1415 |
| born_in_chaos_v1:brute_zombie_step                         | 1416 |
| born_in_chaos_v1:charm_of_endurance_use                    | 1424 |
| born_in_chaos_v1:charm_of_protection_use                   | 1427 |
| born_in_chaos_v1:charm_of_rage_use                         | 1426 |
| born_in_chaos_v1:charm_of_stealth_use                      | 1423 |
| born_in_chaos_v1:charm_of_strenght_use                     | 1425 |
| born_in_chaos_v1:clown_death                               | 1391 |
| born_in_chaos_v1:clown_hurt                                | 1390 |
| born_in_chaos_v1:clown_step                                | 1389 |
| born_in_chaos_v1:corpse_fly_ambient                        | 1393 |
| born_in_chaos_v1:corpse_fly_ambient2                       | 1399 |
| born_in_chaos_v1:corpse_fly_death                          | 1394 |
| born_in_chaos_v1:corpse_fly_death2                         | 1401 |
| born_in_chaos_v1:corpse_fly_hurt                           | 1395 |
| born_in_chaos_v1:corpse_fly_hurt2                          | 1400 |
| born_in_chaos_v1:crab_death                                | 1406 |
| born_in_chaos_v1:crab_hurt                                 | 1409 |
| born_in_chaos_v1:crab_idle                                 | 1407 |
| born_in_chaos_v1:crab_step                                 | 1408 |
| born_in_chaos_v1:dark_warlblade_atak                       | 1387 |
| born_in_chaos_v1:dfjn                                      | 1334 |
| born_in_chaos_v1:door1                                     | 1335 |
| born_in_chaos_v1:door2                                     | 1336 |
| born_in_chaos_v1:doorblokc                                 | 1369 |
| born_in_chaos_v1:doorblokc2                                | 1370 |
| born_in_chaos_v1:doorsdisc                                 | 1372 |
| born_in_chaos_v1:fallen_attack                             | 1352 |
| born_in_chaos_v1:fallen_curse_mark                         | 1353 |
| born_in_chaos_v1:fallen_death                              | 1354 |
| born_in_chaos_v1:fallen_hurt                               | 1355 |
| born_in_chaos_v1:fallen_idle                               | 1356 |
| born_in_chaos_v1:fallen_step                               | 1357 |
| born_in_chaos_v1:fish_slap                                 | 1402 |
| born_in_chaos_v1:fly_move                                  | 1414 |
| born_in_chaos_v1:gadfly_death                              | 1398 |
| born_in_chaos_v1:gadfly_hurt                               | 1397 |
| born_in_chaos_v1:gadfly_idle                               | 1396 |
| born_in_chaos_v1:glutton_fish_ambient                      | 1410 |
| born_in_chaos_v1:glutton_fish_attack                       | 1411 |
| born_in_chaos_v1:glutton_fish_death                        | 1413 |
| born_in_chaos_v1:glutton_fish_hurt                         | 1412 |
| born_in_chaos_v1:hah                                       | 1367 |
| born_in_chaos_v1:haha                                      | 1368 |
| born_in_chaos_v1:halloween                                 | 1371 |
| born_in_chaos_v1:hound_ambient                             | 1383 |
| born_in_chaos_v1:hound_attack                              | 1384 |
| born_in_chaos_v1:hound_death                               | 1381 |
| born_in_chaos_v1:hound_hit                                 | 1382 |
| born_in_chaos_v1:houndtrap                                 | 1386 |
| born_in_chaos_v1:missionary_death                          | 1428 |
| born_in_chaos_v1:missionary_hurt                           | 1429 |
| born_in_chaos_v1:missionary_idle                           | 1430 |
| born_in_chaos_v1:missionary_shoot                          | 1434 |
| born_in_chaos_v1:missionary_spawn_mobs                     | 1431 |
| born_in_chaos_v1:missionary_step                           | 1432 |
| born_in_chaos_v1:missionary_teleport                       | 1433 |
| born_in_chaos_v1:nightmare_stalker_roar                    | 1346 |
| born_in_chaos_v1:persecutor_death                          | 1358 |
| born_in_chaos_v1:persecutor_hurt                           | 1359 |
| born_in_chaos_v1:persecutor_idle                           | 1360 |
| born_in_chaos_v1:persecutor_scream                         | 1361 |
| born_in_chaos_v1:pumpkin_spirit_death                      | 1379 |
| born_in_chaos_v1:pumpkin_spirit_hurt                       | 1378 |
| born_in_chaos_v1:pumpkinhead_bomb_curse                    | 1422 |
| born_in_chaos_v1:pumpkinhead_gun_fire                      | 1421 |
| born_in_chaos_v1:pumpkinhead_reload                        | 1420 |
| born_in_chaos_v1:restless_spirit_death                     | 1340 |
| born_in_chaos_v1:restless_spirit_hurt                      | 1339 |
| born_in_chaos_v1:restless_spirit_idle                      | 1338 |
| born_in_chaos_v1:seared_spirit_death                       | 1385 |
| born_in_chaos_v1:serpumpkinheadm                           | 1337 |
| born_in_chaos_v1:skeleton_trasher_attack                   | 1342 |
| born_in_chaos_v1:skeleton_trasher_block1                   | 1343 |
| born_in_chaos_v1:skeleton_trasher_block2                   | 1344 |
| born_in_chaos_v1:skeleton_trasher_block3                   | 1345 |
| born_in_chaos_v1:skeleton_trasher_step                     | 1341 |
| born_in_chaos_v1:spirit_idle                               | 1347 |
| born_in_chaos_v1:stalker_dead                              | 1374 |
| born_in_chaos_v1:stalker_death                             | 1348 |
| born_in_chaos_v1:stalker_death2                            | 1362 |
| born_in_chaos_v1:stalker_hit                               | 1376 |
| born_in_chaos_v1:stalker_hurt                              | 1377 |
| born_in_chaos_v1:stalker_roar                              | 1373 |
| born_in_chaos_v1:stalker_roar_distant                      | 1380 |
| born_in_chaos_v1:stalker_step                              | 1375 |
| born_in_chaos_v1:stomach_open                              | 1388 |
| born_in_chaos_v1:swarmer_death                             | 1405 |
| born_in_chaos_v1:swarmer_hurt                              | 1404 |
| born_in_chaos_v1:swarmer_idle                              | 1403 |
| born_in_chaos_v1:vortex_death1                             | 1363 |
| born_in_chaos_v1:vortex_hurt1                              | 1349 |
| born_in_chaos_v1:vortex_hurt11                             | 1365 |
| born_in_chaos_v1:vortex_hurt2                              | 1350 |
| born_in_chaos_v1:vortex_hurt21                             | 1366 |
| born_in_chaos_v1:vortex_idle1                              | 1351 |
| born_in_chaos_v1:vortex_idle2                              | 1364 |
| born_in_chaos_v1:zombie_brute_death                        | 1417 |
| born_in_chaos_v1:zombie_brute_hurt                         | 1418 |
| born_in_chaos_v1:zombie_brute_idle                         | 1419 |
| born_in_chaos_v1:zombie_clown_attack                       | 1392 |
| clayworks:block.kiln.smoke                                 | 1468 |
| creeperoverhaul:entity.ocean.creeper.death                 | 1765 |
| creeperoverhaul:entity.ocean.creeper.deflate               | 1769 |
| creeperoverhaul:entity.ocean.creeper.hurt_deflated         | 1767 |
| creeperoverhaul:entity.ocean.creeper.hurt_inflated         | 1766 |
| creeperoverhaul:entity.ocean.creeper.inflate               | 1768 |
| creeperoverhaul:entity.plant.creeper.death                 | 1747 |
