+--------------------+------------------------------------------------------------+
| Type registry name | Stat name                                                  |
+--------------------+------------------------------------------------------------+
| minecraft:custom   | minecraft.custom:astikorcarts.cart_one_cm                  |
| minecraft:custom   | minecraft.custom:corail_woodcutter.interact_with_sawmill   |
| minecraft:custom   | minecraft.custom:lootr.looted_stat                         |
| minecraft:custom   | minecraft.custom:minecraft.animals_bred                    |
| minecraft:custom   | minecraft.custom:minecraft.aviate_one_cm                   |
| minecraft:custom   | minecraft.custom:minecraft.bell_ring                       |
| minecraft:custom   | minecraft.custom:minecraft.boat_one_cm                     |
| minecraft:custom   | minecraft.custom:minecraft.clean_armor                     |
| minecraft:custom   | minecraft.custom:minecraft.clean_banner                    |
| minecraft:custom   | minecraft.custom:minecraft.clean_shulker_box               |
| minecraft:custom   | minecraft.custom:minecraft.climb_one_cm                    |
| minecraft:custom   | minecraft.custom:minecraft.crouch_one_cm                   |
| minecraft:custom   | minecraft.custom:minecraft.damage_absorbed                 |
| minecraft:custom   | minecraft.custom:minecraft.damage_blocked_by_shield        |
| minecraft:custom   | minecraft.custom:minecraft.damage_dealt                    |
| minecraft:custom   | minecraft.custom:minecraft.damage_dealt_absorbed           |
| minecraft:custom   | minecraft.custom:minecraft.damage_dealt_resisted           |
| minecraft:custom   | minecraft.custom:minecraft.damage_resisted                 |
| minecraft:custom   | minecraft.custom:minecraft.damage_taken                    |
| minecraft:custom   | minecraft.custom:minecraft.deaths                          |
| minecraft:custom   | minecraft.custom:minecraft.drop                            |
| minecraft:custom   | minecraft.custom:minecraft.eat_cake_slice                  |
| minecraft:custom   | minecraft.custom:minecraft.enchant_item                    |
| minecraft:custom   | minecraft.custom:minecraft.fall_one_cm                     |
| minecraft:custom   | minecraft.custom:minecraft.fill_cauldron                   |
| minecraft:custom   | minecraft.custom:minecraft.fish_caught                     |
| minecraft:custom   | minecraft.custom:minecraft.fly_one_cm                      |
| minecraft:custom   | minecraft.custom:minecraft.horse_one_cm                    |
| minecraft:custom   | minecraft.custom:minecraft.inspect_dispenser               |
| minecraft:custom   | minecraft.custom:minecraft.inspect_dropper                 |
| minecraft:custom   | minecraft.custom:minecraft.inspect_hopper                  |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_anvil             |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_beacon            |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_blast_furnace     |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_brewingstand      |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_campfire          |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_cartography_table |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_crafting_table    |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_furnace           |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_grindstone        |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_lectern           |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_loom              |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_smithing_table    |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_smoker            |
| minecraft:custom   | minecraft.custom:minecraft.interact_with_stonecutter       |
| minecraft:custom   | minecraft.custom:minecraft.jump                            |
| minecraft:custom   | minecraft.custom:minecraft.leave_game                      |
| minecraft:custom   | minecraft.custom:minecraft.minecart_one_cm                 |
| minecraft:custom   | minecraft.custom:minecraft.mob_kills                       |
| minecraft:custom   | minecraft.custom:minecraft.open_barrel                     |
| minecraft:custom   | minecraft.custom:minecraft.open_chest                      |
| minecraft:custom   | minecraft.custom:minecraft.open_enderchest                 |
| minecraft:custom   | minecraft.custom:minecraft.open_shulker_box                |
| minecraft:custom   | minecraft.custom:minecraft.pig_one_cm                      |
| minecraft:custom   | minecraft.custom:minecraft.play_noteblock                  |
| minecraft:custom   | minecraft.custom:minecraft.play_record                     |
| minecraft:custom   | minecraft.custom:minecraft.play_time                       |
| minecraft:custom   | minecraft.custom:minecraft.player_kills                    |
| minecraft:custom   | minecraft.custom:minecraft.pot_flower                      |
| minecraft:custom   | minecraft.custom:minecraft.raid_trigger                    |
| minecraft:custom   | minecraft.custom:minecraft.raid_win                        |
| minecraft:custom   | minecraft.custom:minecraft.sleep_in_bed                    |
| minecraft:custom   | minecraft.custom:minecraft.sneak_time                      |
| minecraft:custom   | minecraft.custom:minecraft.sprint_one_cm                   |
| minecraft:custom   | minecraft.custom:minecraft.strider_one_cm                  |
| minecraft:custom   | minecraft.custom:minecraft.swim_one_cm                     |
| minecraft:custom   | minecraft.custom:minecraft.talked_to_villager              |
| minecraft:custom   | minecraft.custom:minecraft.target_hit                      |
| minecraft:custom   | minecraft.custom:minecraft.time_since_death                |
| minecraft:custom   | minecraft.custom:minecraft.time_since_rest                 |
| minecraft:custom   | minecraft.custom:minecraft.total_world_time                |
| minecraft:custom   | minecraft.custom:minecraft.traded_with_villager            |
| minecraft:custom   | minecraft.custom:minecraft.trigger_trapped_chest           |
| minecraft:custom   | minecraft.custom:minecraft.tune_noteblock                  |
| minecraft:custom   | minecraft.custom:minecraft.use_cauldron                    |
| minecraft:custom   | minecraft.custom:minecraft.walk_on_water_one_cm            |
| minecraft:custom   | minecraft.custom:minecraft.walk_one_cm                     |
| minecraft:custom   | minecraft.custom:minecraft.walk_under_water_one_cm         |
| minecraft:custom   | minecraft.custom:minecraft.waystone_activated              |
| minecraft:used     | minecraft.used:minecraft.glow_lichen                       |
+--------------------+------------------------------------------------------------+
| Type registry name | Stat name                                                  |
+--------------------+------------------------------------------------------------+
