"Registry name","Name"
"domesticationinnovation:animal_tamer","animal_tamer"
"gothic:farm_trader","gothic:farm_trader"
"gothic:new_camp_trader","gothic:new_camp_trader"
"gothic:old_camp_trader","gothic:old_camp_trader"
"gothic:paladin_trader","gothic:paladin_trader"
"gothic:swamp_camp_trader","gothic:swamp_camp_trader"
"minecraft:armorer","armorer"
"minecraft:butcher","butcher"
"minecraft:cartographer","cartographer"
"minecraft:cleric","cleric"
"minecraft:farmer","farmer"
"minecraft:fisherman","fisherman"
"minecraft:fletcher","fletcher"
"minecraft:leatherworker","leatherworker"
"minecraft:librarian","librarian"
"minecraft:mason","mason"
"minecraft:nitwit","nitwit"
"minecraft:none","none"
"minecraft:shepherd","shepherd"
"minecraft:toolsmith","toolsmith"
"minecraft:weaponsmith","weaponsmith"
