+-------------------------+---------------+-------+------------------+----------------+------------------------------+
| Registry name           | Profession    | Level | Buy 1            | Buy 2          | Sell                         |
+-------------------------+---------------+-------+------------------+----------------+------------------------------+
| minecraft:armorer       | armorer       |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Coal             |                | Emerald                      |
|                         |               |       | Emerald          |                | Iron Leggings                |
|                         |               |       | Emerald          |                | Iron Boots                   |
|                         |               |       | Emerald          |                | Iron Helmet                  |
|                         |               |       | Emerald          |                | Iron Chestplate              |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Iron Ingot       |                | Emerald                      |
|                         |               |       | Emerald          |                | Bell                         |
|                         |               |       | Emerald          |                | Chainmail Boots              |
|                         |               |       | Emerald          |                | Chainmail Leggings           |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Lava Bucket      |                | Emerald                      |
|                         |               |       | Diamond          |                | Emerald                      |
|                         |               |       | Emerald          |                | Chainmail Helmet             |
|                         |               |       | Emerald          |                | Chainmail Chestplate         |
|                         |               |       | Emerald          |                | Shield                       |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Emerald          |                | Diamond Leggings             |
|                         |               |       | Emerald          |                | Diamond Boots                |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Emerald          |                | Diamond Helmet               |
|                         |               |       | Emerald          |                | Diamond Chestplate           |
| minecraft:butcher       | butcher       |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Raw Chicken      |                | Emerald                      |
|                         |               |       | Raw Porkchop     |                | Emerald                      |
|                         |               |       | Raw Rabbit       |                | Emerald                      |
|                         |               |       | Emerald          |                | Rabbit Stew                  |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Coal             |                | Emerald                      |
|                         |               |       | Emerald          |                | Cooked Porkchop              |
|                         |               |       | Emerald          |                | Cooked Chicken               |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Raw Mutton       |                | Emerald                      |
|                         |               |       | Raw Beef         |                | Emerald                      |
|                         |               |       | Raw Turkey       |                | Emerald                      |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Dried Kelp Block |                | Emerald                      |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Sweet Berries    |                | Emerald                      |
| minecraft:cartographer  | cartographer  |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Paper            |                | Emerald                      |
|                         |               |       | Emerald          |                | Empty Map                    |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Glass Pane       |                | Emerald                      |
|                         |               |       | Emerald          | Compass        | Ocean Explorer Map           |
|                         |               |       | Emerald          | Compass        | Adventurer Map               |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Compass          |                | Emerald                      |
|                         |               |       | Emerald          | Compass        | Woodland Explorer Map        |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Emerald          |                | Item Frame                   |
|                         |               |       | Emerald          |                | White Banner                 |
|                         |               |       | Emerald          |                | Blue Banner                  |
|                         |               |       | Emerald          |                | Light Blue Banner            |
|                         |               |       | Emerald          |                | Red Banner                   |
|                         |               |       | Emerald          |                | Pink Banner                  |
|                         |               |       | Emerald          |                | Green Banner                 |
|                         |               |       | Emerald          |                | Lime Banner                  |
|                         |               |       | Emerald          |                | Gray Banner                  |
|                         |               |       | Emerald          |                | Black Banner                 |
|                         |               |       | Emerald          |                | Purple Banner                |
|                         |               |       | Emerald          |                | Magenta Banner               |
|                         |               |       | Emerald          |                | Cyan Banner                  |
|                         |               |       | Emerald          |                | Brown Banner                 |
|                         |               |       | Emerald          |                | Yellow Banner                |
|                         |               |       | Emerald          |                | Orange Banner                |
|                         |               |       | Emerald          |                | Light Gray Banner            |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Emerald          |                | Banner Pattern               |
|                         |               |       | Emerald          |                | Antique Ink                  |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
|                         |               |       | Emerald          | Compass        | Pathfinder's Quill           |
| minecraft:cleric        | cleric        |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Rotten Flesh     |                | Emerald                      |
|                         |               |       | Emerald          |                | Redstone Dust                |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Gold Ingot       |                | Emerald                      |
|                         |               |       | Emerald          |                | Lapis Lazuli                 |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Rabbit's Foot    |                | Emerald                      |
|                         |               |       | Emerald          |                | Glowstone                    |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Scute            |                | Emerald                      |
|                         |               |       | Glass Bottle     |                | Emerald                      |
|                         |               |       | Emerald          |                | Ender Pearl                  |
|                         |               |       | Thrasher Tooth   |                | Emerald                      |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Nether Wart      |                | Emerald                      |
|                         |               |       | Emerald          |                | Bottle o' Enchanting         |
| minecraft:farmer        | farmer        |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Wheat            |                | Emerald                      |
|                         |               |       | Potato           |                | Emerald                      |
|                         |               |       | Carrot           |                | Emerald                      |
|                         |               |       | Beetroot         |                | Emerald                      |
|                         |               |       | Emerald          |                | Bread                        |
|                         |               |       | Cucumber         |                | Emerald                      |
|                         |               |       | Eggplant         |                | Emerald                      |
|                         |               |       | White Eggplant   |                | Emerald                      |
|                         |               |       | Corn Cob         |                | Emerald                      |
|                         |               |       | Avocado          |                | Emerald                      |
|                         |               |       | Onion            |                | Emerald                      |
|                         |               |       | Tomato           |                | Emerald                      |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Pumpkin          |                | Emerald                      |
|                         |               |       | Emerald          |                | Pumpkin Pie                  |
|                         |               |       | Emerald          |                | Apple                        |
|                         |               |       | Cabbage          |                | Emerald                      |
|                         |               |       | Rice             |                | Emerald                      |
|                         |               |       | Emerald          |                | Foul Berries                 |
|                         |               |       | Emerald          |                | Mulberry                     |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Emerald          |                | Cookie                       |
|                         |               |       | Melon            |                | Emerald                      |
|                         |               |       | Flax Seeds       |                | Emerald                      |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Emerald          |                | Cake                         |
|                         |               |       | Emerald          |                | Suspicious Stew              |
|                         |               |       | Emerald          |                | Suspicious Stew              |
|                         |               |       | Emerald          |                | Suspicious Stew              |
|                         |               |       | Emerald          |                | Suspicious Stew              |
|                         |               |       | Emerald          |                | Suspicious Stew              |
|                         |               |       | Emerald          |                | Suspicious Stew              |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Emerald          |                | Golden Carrot                |
|                         |               |       | Emerald          |                | Glistering Melon Slice       |
| minecraft:fisherman     | fisherman     |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | String           |                | Emerald                      |
|                         |               |       | Coal             |                | Emerald                      |
|                         |               |       | Emerald          | Raw Cod        | Cooked Cod                   |
|                         |               |       | Emerald          |                | Bucket of Cod                |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Raw Cod          |                | Emerald                      |
|                         |               |       | Emerald          | Raw Salmon     | Cooked Salmon                |
|                         |               |       | Emerald          |                | Campfire                     |
|                         |               |       | Raw Perch        | Emerald        | Cooked Perch                 |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Raw Salmon       |                | Emerald                      |
|                         |               |       | Emerald          |                | Fishing Rod                  |
|                         |               |       | Raw Perch        |                | Emerald                      |
|                         |               |       | Raw Pike         | Emerald        | Cooked Pike                  |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Tropical Fish    |                | Emerald                      |
|                         |               |       | Raw Pike         |                | Emerald                      |
|                         |               |       | Raw Lionfish     | Emerald        | Cooked Lionfish              |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Pufferfish       |                | Emerald                      |
|                         |               |       | Raw Lionfish     |                | Emerald                      |
| minecraft:fletcher      | fletcher      |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Stick            |                | Emerald                      |
|                         |               |       | Emerald          |                | Arrow                        |
|                         |               |       | Emerald          | Gravel         | Flint                        |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Flint            |                | Emerald                      |
|                         |               |       | Emerald          |                | Bow                          |
|                         |               | 3     |                  |                |                              |
|                         |               |       | String           |                | Emerald                      |
|                         |               |       | Emerald          |                | Crossbow                     |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Feather          |                | Emerald                      |
|                         |               |       | Emerald          |                | Bow                          |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Tripwire Hook    |                | Emerald                      |
|                         |               |       | Emerald          |                | Crossbow                     |
|                         |               |       | Emerald          | Arrow          | Arrow of Poison              |
| minecraft:leatherworker | leatherworker |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Leather          |                | Emerald                      |
|                         |               |       | Emerald          |                | Leather Pants                |
|                         |               |       | Emerald          |                | Leather Tunic                |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Flint            |                | Emerald                      |
|                         |               |       | Emerald          |                | Leather Cap                  |
|                         |               |       | Emerald          |                | Leather Boots                |
|                         |               |       | Emerald          |                | Bedroll                      |
|                         |               |       | Emerald          |                | White Bedroll                |
|                         |               |       | Emerald          |                | Orange Bedroll               |
|                         |               |       | Emerald          |                | Magenta Bedroll              |
|                         |               |       | Emerald          |                | Light Blue Bedroll           |
|                         |               |       | Emerald          |                | Yellow Bedroll               |
|                         |               |       | Emerald          |                | Lime Bedroll                 |
|                         |               |       | Emerald          |                | Pink Bedroll                 |
|                         |               |       | Emerald          |                | Gray Bedroll                 |
